dataset,metric,n,B,ceiling_real,perm_mean,perm_sd,excess,p
Diabetes130US,auprc,20000,25,0.0007930686100088,0.0007968304782847,0.0003776754117418,-3.7618682759302338e-06,0.4615384615384615
Diabetes130US,auroc,20000,25,0.0010718458289024,0.0009375647269545,0.0003984412879998,0.0001342811019479,0.3846153846153846
Diabetes130US,brier,20000,25,4.830597662071519e-05,5.279821536434826e-05,2.743791795079308e-05,-4.492238743633069e-06,0.6153846153846154
colic,auprc,368,25,0.0169601686244509,0.0236792047987287,0.0085250701150442,-0.0067190361742777,0.7692307692307693
colic,auroc,368,25,0.0094439876200591,0.0135717809788115,0.0052803415021818,-0.0041277933587523,0.8076923076923077
colic,brier,368,25,0.0144375821911417,0.0163208454918175,0.0059724699526764,-0.0018832633006758,0.6538461538461539
cylinder-bands,auprc,540,25,0.0075328040086224,0.0335879733611588,0.0126945158691343,-0.0260551693525364,1.0
cylinder-bands,auroc,540,25,0.0082087263246683,0.0216512280128923,0.0086250743470633,-0.013442501688224,1.0
cylinder-bands,brier,540,25,0.0049177088573621,0.0142630938608489,0.0038831313274832,-0.0093453850034867,1.0
eucalyptus,auprc,736,25,0.0030991098286027,0.0058775327318826,0.0015776646061324,-0.0027784229032799,1.0
eucalyptus,auroc,736,25,0.0106139959462218,0.013307668780094,0.002751987025008,-0.0026936728338721,0.8076923076923077
eucalyptus,brier,736,25,0.0053351637379576,0.0069311320353305,0.0012037134929202,-0.0015959682973728,0.8846153846153846
heart-4site,auprc,920,25,0.0020887253342192,0.0024211684283956,0.0013523093876874,-0.0003324430941764,0.5384615384615384
heart-4site,auroc,920,25,0.0008123758392329,0.0025276063413846,0.0013750540883361,-0.0017152305021516,0.8846153846153846
heart-4site,brier,920,25,0.0337758586293951,0.017605216354144,0.0107737891962259,0.0161706422752511,0.1538461538461538
hepatitis,auprc,155,25,0.0295426820688249,0.0326325558406623,0.0192292964974267,-0.0030898737718373,0.6153846153846154
hepatitis,auroc,155,25,0.0152063492063492,0.0192971428571428,0.012638165213141,-0.0040907936507936,0.6153846153846154
hepatitis,brier,155,25,0.0222264062849613,0.0177256098707909,0.0087008935958036,0.0045007964141703,0.3076923076923077
hypothyroid,auprc,3772,25,0.0024505087836575,0.0008950641372017,0.0013794982434777,0.0015554446464557,0.1923076923076923
hypothyroid,auroc,3772,25,0.0019700566668082,0.0019982717735254,0.0017138497612482,-2.8215106717226473e-05,0.4615384615384615
hypothyroid,brier,3772,25,0.0,5.828670879282072e-19,9.539401966176752e-19,-5.828670879282072e-19,0.8846153846153846
primary-tumor,auprc,339,25,0.0056839240262116,0.0042201631341286,0.0031063116373111,0.001463760892083,0.2692307692307692
primary-tumor,auroc,339,25,0.0086120722798923,0.0114457900807381,0.006327408179599,-0.0028337178008458,0.7692307692307693
primary-tumor,brier,339,25,0.0114404191623977,0.0196839499362622,0.0097081937442,-0.0082435307738645,0.8461538461538461
sick,auprc,3772,25,0.0034068247379839,0.0117868326055857,0.0059749470057806,-0.0083800078676017,0.9615384615384616
sick,auroc,3772,25,0.0022611862293375,0.0033945015954208,0.0013345287750029,-0.0011333153660833,0.8076923076923077
sick,brier,3772,25,-6.93889390390723e-19,3.0068065220991725e-05,8.734935581198204e-05,-3.006806522099242e-05,0.7307692307692307
support2,auprc,9105,25,0.0,0.0015792445101308,0.0005746960569542,-0.0015792445101308,1.0
support2,auroc,9105,25,0.0,0.0008757882806956,0.000195308775966,-0.0008757882806956,1.0
support2,brier,9105,25,-4.6259292692714865e-19,0.0005552384954123,0.0001696109052209,-0.0005552384954123,1.0
vote,auprc,435,25,0.0022057459715238,0.0031789043512366,0.0030904903447538,-0.0009731583797128,0.5384615384615384
vote,auroc,435,25,0.0016702147051142,0.0019163368797109,0.0022441445919072,-0.0002461221745966,0.4230769230769231
vote,brier,435,25,0.0023379366689078,0.0029771158970372,0.0016886310069823,-0.0006391792281294,0.6153846153846154
