dataset,n,d,iota,cov30,eff_pat,n_pat,miss,prev,het,het_null,het_excess,tuned_indicator,tuned_impute,safe_adaptive,safe_oracle,delta,p,wins,n_folds
heart-4site,920,13,0.28149742281736545,0.8097826086956522,9.284333338725405,35,0.16145484949832775,0.5532608695652174,0.8313507247569608,0.6147343062622627,0.21661641849469815,0.9065024073054723,0.8939374651352028,0.9060624583951817,0.9085911326396915,-0.00043994891029057736,0.31731050786291415,0,15
colic,368,26,0.11602787456445995,0.0,158.70281067602355,225,0.2014005016722408,0.3695652173913043,0.82908042042997,0.8505819563191038,-0.021501535889133838,0.8464907508899818,0.8494631185158386,0.8469867393585353,0.8634509195144328,0.0004959884685537431,1.0,8,15
hepatitis,155,19,0.08243243243243237,0.7225806451612903,5.558424701259836,21,0.0567062818336163,0.2064516129032258,1.073525629232042,0.6025859587576987,0.4709396704743434,0.716302984428743,0.7106082181165395,0.7063578561567198,0.745845666497568,-0.009945128272023112,0.3454475304692257,2,15
primary-tumor,339,17,0.2623376623376623,0.943952802359882,3.3571527800547676,7,0.039042165538781884,0.7522123893805309,0.5899979504173719,0.45567738734165514,0.13432056307571677,0.9580533124026419,0.953907852921097,0.9584815194617473,0.9637372364288537,0.0004282070591054158,0.6547208460185769,1,15
vote,435,16,0.15992647058823528,0.6459770114942529,9.73254345402613,76,0.05632183908045977,0.38620689655172413,0.35737895434565126,0.4224063719658127,-0.06502741762016145,0.9823959630800618,0.9911364226221028,0.9822516629357617,0.9846017090515857,-0.0001443001443001579,0.17971249487899976,0,15
cylinder-bands,540,37,0.17232478097622006,0.7129629629629629,9.276397325979197,68,0.05,0.4222222222222222,0.9841269995150583,1.0080955746722913,-0.02396857515723294,0.7909091782780525,0.6609022663079205,0.7909091782780525,0.7984338443109963,-7.401486830834377e-18,1.0,0,15
eucalyptus,736,19,0.05493630573248409,0.9565217391304348,1.6479646208141088,6,0.032036613272311214,0.7092391304347826,0.6142840712144991,0.3456148118142977,0.2686692594002014,0.9309900890447562,0.9291422386309515,0.9309900890447562,0.9340891988733588,0.0,1.0,0,15
hypothyroid,3772,29,0.09189902656327342,0.9750795334040296,3.2606437177160155,26,0.05543569678575346,0.07714740190880169,0.3202669674351128,0.31143457256063495,0.008832394874477845,0.9006007752377179,0.9025668977549101,0.8999213350041102,0.9023718437877677,-0.0006794402336077754,0.4132933469087018,5,15
sick,3772,29,0.11329025045332464,0.9750795334040296,3.2606437177160155,26,0.05543569678575346,0.0612407211028632,0.46525234060076315,0.7956538406492174,-0.33040150004845426,0.6997755258255662,0.70205402326035,0.6997755258255663,0.7031823505635502,1.4802973661668754e-17,1.0,5,15
support2,9105,46,0.1609763154631505,0.42350356946732565,450.88996936903595,1651,0.1124800038201657,0.3189456342668863,0.9315653709803883,0.8323460967885477,0.09921927419184062,0.9434331620323672,0.8711449151517521,0.9434331620323672,0.9434331620323672,-7.401486830834377e-18,1.0,3,15
Diabetes130US,20000,22,0.016408389571840543,0.99915,2.1250617365157214,8,0.08207727272727272,0.1116,0.39627110149102696,0.3545573214929737,0.04171377999805326,0.16311102875182024,0.16308484321191083,0.16311102875182024,0.16390409736182912,0.0,1.0,0,15
