cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
colorectal,ours,baseline,40000,0,0,0.7538538509475414,0.1350966951593052,0.038625,0.961125,0.0354033791972332,0.921081856907164,-0.2423707827215671,309
colorectal,ours,baseline,40000,0,1,0.7390883472844105,0.1149803949108838,0.038625,0.96075,0.0359598807711815,0.8503837924965154,-0.4047275947566284,309
colorectal,ours,baseline,40000,0,2,0.7395452829397207,0.1290987541160075,0.03875,0.961375,0.0356595448444974,0.8954983387972457,-0.2789419652470523,310
colorectal,ours,baseline,40000,0,3,0.7303091572633079,0.1078788621952068,0.03875,0.9605,0.0363157527046366,0.798578278507451,-0.537608495029113,310
colorectal,ours,baseline,40000,0,4,0.7581677083770293,0.1580389242545758,0.03875,0.9615,0.0350551900131697,0.9740899432718506,-0.0652855987591762,310
colorectal,ours,baseline,40000,1,0,0.7569888984687267,0.1356353404515001,0.038625,0.961,0.0354978526702448,0.9382523724999544,-0.1902066244666541,309
colorectal,ours,baseline,40000,1,1,0.7199946644651274,0.1238959727836364,0.038625,0.961375,0.0358078747886674,0.7870793313708032,-0.6110455319593145,309
colorectal,ours,baseline,40000,1,2,0.7525951172448508,0.1324365912931438,0.03875,0.961,0.0356400817963089,0.9406174041169156,-0.124261031684897,310
colorectal,ours,baseline,40000,1,3,0.7409117412643148,0.1197102857966411,0.03875,0.961125,0.0359810607612117,0.8318789958479257,-0.4647079799337168,310
colorectal,ours,baseline,40000,1,4,0.7574281639330509,0.143104385237779,0.03875,0.96075,0.035357842462542,0.9776623587472332,-0.035510180037832,310
colorectal,ours,baseline,40000,2,0,0.7462980518985962,0.1318514187211909,0.038625,0.961,0.0355521719318034,0.8894638334420829,-0.3158559666718264,309
colorectal,ours,baseline,40000,2,1,0.7423626741465142,0.1334044270862417,0.038625,0.961625,0.0354856169665318,0.908003034008823,-0.239252131611916,309
