cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,19,14,14,0.18771559927047815
lung,baseline,40000,20,19,19,0.10501481407375585
lung,baseline,40000,27,20,20,0.15516078272139236
lung,baseline,40000,28,27,27,0.010662148138020956
lung,baseline,40000,32,14,14,0.2637550626899795
lung,baseline,40000,33,14,14,0.23596973310198632
lung,baseline,40000,33,32,32,0.007334494941108819
lung,baseline,40000,34,33,33,0.019878884498760463
lung,baseline,40000,34,32,32,0.0034614171550962575
lung,baseline,40000,35,33,33,0.006387636258072368
lung,baseline,40000,36,14,14,0.2659258401748182
lung,baseline,40000,37,33,33,0.17953121559661211
lung,baseline,40000,37,14,14,0.2690582910132893
lung,baseline,40000,39,33,33,0.14553000056020635
lung,baseline,40000,39,19,19,0.2477126330832451
lung,baseline,40000,40,34,34,0.12025015394273811
lung,baseline,40000,40,33,33,0.12218534262266385
lung,baseline,40000,40,34,34,0.15685549691699524
lung,baseline,40000,40,19,19,0.2632882338868075
lung,baseline,40000,41,19,19,0.43542380071505965
lung,baseline,40000,43,40,40,0.1046928980537127
lung,baseline,40000,44,34,34,0.1270458404548584
lung,baseline,40000,44,33,33,0.1292298951603982
lung,baseline,40000,44,35,35,0.011870707498068315
lung,baseline,40000,44,34,34,0.012659300562821788
lung,baseline,40000,46,35,35,0.022930894185736937
lung,baseline,40000,46,34,34,0.026682825077427252
lung,baseline,40000,47,44,44,0.011089549572415853
lung,baseline,40000,47,37,37,0.016904203290075356
lung,baseline,40000,49,34,34,0.13427309229398235
lung,baseline,40000,51,40,40,0.20269666805236652
lung,baseline,40000,51,39,39,0.2401928358424231
lung,baseline,40000,51,37,37,0.2143509723587725
lung,baseline,40000,51,36,36,0.1898255055089584
lung,baseline,40000,51,27,27,0.27701060762109253
lung,baseline,40000,51,37,37,0.17302784230875698
lung,baseline,40000,52,49,49,0.007233460255484468
lung,baseline,40000,53,19,19,0.24361605103813913
lung,baseline,40000,53,47,47,0.10241801548639962
lung,baseline,40000,53,46,46,0.10340545401747811
lung,baseline,40000,53,44,44,0.028392138508168588
lung,baseline,40000,53,40,40,0.03325044430934586
lung,baseline,40000,54,40,40,0.027797474985248392
lung,baseline,40000,54,35,35,0.11377640822727025
lung,baseline,40000,55,27,27,0.16820555973635057
lung,baseline,40000,56,19,19,0.45746389644983365
lung,baseline,40000,56,34,34,0.0757349995435326
lung,baseline,40000,57,14,14,0.18258335729438974
lung,baseline,40000,57,28,28,0.20297114756991297
lung,baseline,40000,58,34,34,0.17948647752993166
lung,baseline,40000,58,33,33,0.18456652640068916
lung,baseline,40000,58,34,34,0.17056831120022972
lung,baseline,40000,58,19,19,0.2746516591765095
lung,baseline,40000,59,14,14,0.20689171726095568
lung,baseline,40000,60,35,35,0.039069609739806825
lung,baseline,40000,60,34,34,0.04722741438793641
lung,baseline,40000,61,14,14,0.18236599722729915
lung,baseline,40000,61,47,47,0.14062519369216814
lung,baseline,40000,61,46,46,0.13776433982898065
lung,baseline,40000,61,47,47,0.02895122887221357
lung,baseline,40000,61,47,47,0.14326826932844047
lung,baseline,40000,62,14,14,0.1545505199397288
lung,baseline,40000,62,19,19,0.4384819971173983
lung,baseline,40000,62,61,61,0.14069715685648074
lung,baseline,40000,62,61,61,0.013050600326402454
lung,baseline,40000,62,58,58,0.017354746069129224
lung,baseline,40000,62,37,37,0.1343166187622258
lung,baseline,40000,62,34,34,0.15520914199986405
lung,baseline,40000,62,33,33,0.19487119749995915
lung,baseline,40000,62,61,61,0.1404604976544851
lung,baseline,40000,62,61,61,0.029121027020239703
lung,baseline,40000,62,46,46,0.035631228863983976
lung,baseline,40000,62,14,14,0.24728245461754988
lung,baseline,40000,62,14,14,0.2823370633707704
lung,baseline,40000,63,49,49,0.1256165119198357
lung,baseline,40000,63,37,37,0.13281875752299538
lung,baseline,40000,63,35,35,0.15941256978118507
lung,baseline,40000,63,47,47,0.23111239655693971
lung,baseline,40000,63,46,46,0.21312374549200455
lung,baseline,40000,63,28,28,0.26414677514129437
lung,baseline,40000,63,53,53,0.14741607214021657
lung,baseline,40000,63,52,52,0.16294283052826405
lung,baseline,40000,63,28,28,0.21627958813811587
lung,baseline,40000,63,47,47,0.2399859632854481
lung,baseline,40000,63,46,46,0.22777745060973154
lung,baseline,40000,63,14,14,0.19159655260446656
lung,baseline,40000,63,62,62,0.037161067869437944
lung,baseline,40000,63,62,62,0.026418410353157923
lung,baseline,40000,63,62,62,0.11953157842272714
lung,baseline,40000,63,62,62,0.06052194921477974
lung,baseline,40000,63,62,62,0.14573150428776888
lung,baseline,40000,63,62,62,0.18899161070214393
lung,baseline,40000,63,34,34,0.24280803356243996
lung,baseline,40000,63,14,14,0.23837242489758467
lung,baseline,40000,64,37,37,0.1024994172702761
lung,baseline,40000,64,35,35,0.11780150252078868
lung,baseline,40000,64,33,33,0.04730442471775019
lung,baseline,40000,64,14,14,0.24327861857896618
lung,baseline,40000,64,57,57,0.14017798072517243
lung,baseline,40000,64,54,54,0.14384389365269346
lung,baseline,40000,64,47,47,0.1504894689905158
lung,baseline,40000,64,44,44,0.1517677883701627
lung,baseline,40000,64,49,49,0.2147918410035294
lung,baseline,40000,64,44,44,0.20725151243866022
lung,baseline,40000,64,40,40,0.22350724557910953
lung,baseline,40000,64,28,28,0.28872142966764003
lung,baseline,40000,64,37,37,0.03813783100661235
lung,baseline,40000,64,35,35,0.038783127410044874
lung,baseline,40000,64,37,37,0.15199945968320144
lung,baseline,40000,64,14,14,0.29335512878635944
lung,baseline,40000,64,33,33,0.29984743704554223
lung,baseline,40000,64,14,14,0.2603657773915436
