cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
lung,ancestors,0.0,baseline,40000,0.1571375455342802,0.0138194625026295
lung,ancestors,200.0,baseline,40000,0.1576869539562378,0.0141157894490403
lung,ancestors,500.0,baseline,40000,0.1581394648939804,0.0143567475871726
lung,ancestors,1000.0,baseline,40000,0.158590678467639,0.0144937447206432
lung,ancestors,2000.0,baseline,40000,0.1595156478510621,0.0148410240399565
lung,ancestors,5000.0,baseline,40000,0.1608512237003374,0.0153956270670252
lung,ancestors,10000.0,baseline,40000,0.1615511460727336,0.0162739821532039
lung,ancestors,50000.0,baseline,40000,0.158673911711016,0.0170150181365028
lung,ancestors,1000000.0,baseline,40000,0.1523577749619551,0.0176155539293138
lung,global,0.0,baseline,40000,0.1571375455342802,0.0138194625026295
lung,global,200.0,baseline,40000,0.1576082287563959,0.0140715256129195
lung,global,500.0,baseline,40000,0.1579270775519648,0.0142458498333303
lung,global,1000.0,baseline,40000,0.1581655841744192,0.0142135996831593
lung,global,2000.0,baseline,40000,0.1582243524609695,0.0143449606342688
lung,global,5000.0,baseline,40000,0.157278501326473,0.0149299697333942
lung,global,10000.0,baseline,40000,0.1555200276431889,0.0147834472731159
lung,global,50000.0,baseline,40000,0.1500992209686014,0.0152421979252862
lung,global,1000000.0,baseline,40000,0.1470937189337124,0.015139698346332248
