cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
lung,ours,baseline,40000,0,0,0.7875855400272416,0.1819362396543688,0.038625,0.961375,0.0343496586252473,1.1046480579365523,0.2774293539180392,309
lung,ours,baseline,40000,0,1,0.7606610761369886,0.1496599639610629,0.038625,0.960875,0.0351704011250671,0.9491773699878064,-0.1128849195076664,309
lung,ours,baseline,40000,0,2,0.7601180838122406,0.1493496803067939,0.03875,0.96125,0.035195424397498,0.9591521131212905,-0.1040373655974714,310
lung,ours,baseline,40000,0,3,0.7507244431393935,0.1367209292133143,0.03875,0.960875,0.0355400834066095,0.878003317145971,-0.3029203954064547,310
lung,ours,baseline,40000,0,4,0.7724327782205629,0.1703343701455888,0.03875,0.961625,0.0347467460494156,0.9996575142678702,-0.0019188048532045,310
lung,ours,baseline,40000,1,0,0.7790202813442687,0.1706421158888106,0.038625,0.9615,0.0346519838240873,1.0286039647834175,0.053027217680994,309
lung,ours,baseline,40000,1,1,0.7443727569609163,0.1506009164175855,0.038625,0.960625,0.035121346882975,0.8859509712813713,-0.3290469990850134,309
lung,ours,baseline,40000,1,2,0.7764235076974705,0.1745446616833592,0.03875,0.96125,0.0347113304352077,1.0900794898912587,0.3134376940544003,310
lung,ours,baseline,40000,1,3,0.7531853265657116,0.1380521054188991,0.03875,0.960875,0.0355415618421435,0.8717966765177368,-0.343681577396677,310
lung,ours,baseline,40000,1,4,0.7800033558454633,0.1700252566756818,0.03875,0.961,0.0347888762326472,1.0448000826124573,0.1511832351924094,310
lung,ours,baseline,40000,2,0,0.7624031198572365,0.1503808591362765,0.038625,0.9605,0.035303941755119,0.9059839966038488,-0.275820468294567,309
lung,ours,baseline,40000,2,1,0.7674931275533668,0.1555090045279571,0.038625,0.961375,0.0349405096639954,1.0050912163500327,0.0425700545846163,309
lung,ours,baseline,40000,2,2,0.7769260455556021,0.1820080763281528,0.03875,0.961375,0.0346200697451449,1.036621454226855,0.1109795791767584,310
lung,ours,baseline,40000,2,3,0.7656097151726164,0.1426024539329844,0.03875,0.961375,0.0353177472493684,0.9724338762043988,-0.063270681659441,310
lung,ours,baseline,40000,2,4,0.7743774906665547,0.1641621584129287,0.03875,0.961375,0.0349004789848548,0.9978481156925372,0.0186547576977567,310
lung,ours,baseline,40000,3,0,0.7701752016289372,0.182083840338629,0.038625,0.961375,0.034441565763068,1.02128680869287,0.0752446182977147,309
lung,ours,baseline,40000,3,1,0.7604439518472186,0.1360033236674927,0.038625,0.960875,0.0354592217224296,0.9250105340636532,-0.1979653203341623,309
lung,ours,baseline,40000,3,2,0.7708056126515375,0.1600635773281151,0.03875,0.9615,0.0349562480304865,1.0141426686524817,0.0444727123948601,310
lung,ours,baseline,40000,3,3,0.7596205797223038,0.1402352527451558,0.03875,0.960875,0.0354830436728385,0.9113109228415954,-0.2359548155382769,310
lung,ours,baseline,40000,3,4,0.7628654725449894,0.1624158253792617,0.03875,0.961125,0.0349527788929329,0.9683676563100588,-0.0751458891308954,310
lung,ours,baseline,40000,4,0,0.7799077137611775,0.1620826160887716,0.038625,0.961125,0.0347601125481399,1.031451037341397,0.1138560123467301,309
lung,ours,baseline,40000,4,1,0.7641615741342693,0.1725909701789526,0.038625,0.961125,0.0346128550659752,1.017941450939919,0.0898720669496764,309
lung,ours,baseline,40000,4,2,0.7460690465204077,0.1269105897485718,0.03875,0.960375,0.035891084555861,0.8307452614861579,-0.4657641153157585,310
lung,ours,baseline,40000,4,3,0.7865036285079072,0.1753224892983332,0.03875,0.961125,0.034597394273166,1.063034520044177,0.1688358809601872,310
lung,ours,baseline,40000,4,4,0.7552672091950166,0.1567685618106028,0.03875,0.961375,0.0350675979421041,0.9434936738036008,-0.1651717116488182,310
lung,ours,baseline,40000,5,0,0.7796480903371696,0.151898530779528,0.038625,0.961,0.0350618822565606,0.970962693376287,-0.0844080082261551,309
lung,ours,baseline,40000,5,1,0.7729618404060729,0.1450263802949293,0.038625,0.961125,0.0351724759399105,0.981154392280153,-0.044156016007876,309
lung,ours,baseline,40000,5,2,0.7665671798313689,0.159613699947341,0.03875,0.961,0.0350149669332074,0.993179318101454,-0.0074572431809676,310
lung,ours,baseline,40000,5,3,0.7640691723646126,0.1619858934465077,0.03875,0.961375,0.0349234282478622,0.9940519006490012,0.021143495929679,310
lung,ours,baseline,40000,5,4,0.7496314862200597,0.1647128141279025,0.03875,0.961375,0.0349259684037335,0.9147307932085036,-0.2372273343604718,310
lung,ours,baseline,40000,6,0,0.7721154343811263,0.1734688579716754,0.038625,0.961875,0.0346133424972494,1.0146530677925576,0.0453269792467832,309
lung,ours,baseline,40000,6,1,0.7590372725822936,0.162746528086745,0.038625,0.961625,0.0348822714788481,0.9682323367029748,-0.0588163751526345,309
lung,ours,baseline,40000,6,2,0.7672010151432526,0.1462464340295235,0.03875,0.960125,0.0354028933545552,0.9339054658994096,-0.1876175189480584,310
lung,ours,baseline,40000,6,3,0.7572362515206174,0.150194779771587,0.03875,0.960875,0.0351978751267491,0.9358864977929572,-0.1610553908976818,310
lung,ours,baseline,40000,6,4,0.7869757540165274,0.178917418382738,0.03875,0.961125,0.0345158778643502,1.0684485107079773,0.190662802098549,310
lung,ours,baseline,40000,7,0,0.76685921719961,0.1488620080195311,0.038625,0.960875,0.0351010907841722,0.9892537827358628,0.0115690670449155,309
lung,ours,baseline,40000,7,1,0.7654626367388605,0.1779433769521624,0.038625,0.961,0.0344855196402457,1.0123026381876283,0.0439220336889482,309
lung,ours,baseline,40000,7,2,0.774658332983766,0.1394644332311513,0.03875,0.960375,0.0355556047375094,0.9467064909594294,-0.1594318284876309,310
lung,ours,baseline,40000,7,3,0.7638166449934981,0.1629022588210497,0.03875,0.962125,0.0350052288164465,0.9404738500262192,-0.1745604317909398,310
lung,ours,baseline,40000,7,4,0.7755002307143757,0.1705182359470797,0.03875,0.961125,0.0347327197007606,1.0312486196460464,0.1279289148146273,310
lung,ours,baseline,40000,8,0,0.7788652226218263,0.1772953214535915,0.038625,0.961,0.0344780634629,1.0545030553204575,0.1522433331567586,309
lung,ours,baseline,40000,8,1,0.757696656328016,0.143951117501512,0.038625,0.96125,0.0351974488733079,0.9352580149033324,-0.1734353334775142,309
lung,ours,baseline,40000,8,2,0.7380936700364948,0.1349483943466269,0.03875,0.961,0.0356491920636137,0.8397871604058927,-0.4199691454845317,310
lung,ours,baseline,40000,8,3,0.7608691639749989,0.1651813085519507,0.03875,0.961875,0.0349647916619597,0.937254344112338,-0.1511111743995783,310
lung,ours,baseline,40000,8,4,0.7926280464784596,0.1585665370423445,0.03875,0.960875,0.0349758015522304,1.089269791862319,0.2529550116542944,310
lung,ours,baseline,40000,9,0,0.7765060998881136,0.1651121883452917,0.038625,0.961375,0.034748282498426,1.0298285288065303,0.0957745093691436,309
lung,ours,baseline,40000,9,1,0.7657573955857284,0.1510270011551511,0.038625,0.961,0.0351125712547237,0.9487722175040488,-0.136375254463804,309
lung,ours,baseline,40000,9,2,0.7610283568941649,0.1642286966234868,0.03875,0.961125,0.0349031917243521,0.993609097029744,0.0044766995680655,310
lung,ours,baseline,40000,9,3,0.7669872897353077,0.1584748839077739,0.03875,0.96175,0.0350547385122967,0.9657591229382144,-0.0736793338203152,310
lung,ours,baseline,40000,9,4,0.7761808381224046,0.1581617774387426,0.03875,0.9605,0.0352243356626404,0.9554229342555902,-0.1236699708653812,310
lung,spsm_global,baseline,40000,0,0,0.784497830650628,0.1799420810567092,0.038625,0.96125,0.0343849359027376,1.0750610396105689,0.1448013591528539,309
lung,spsm_global,baseline,40000,0,1,0.7613221270269668,0.1483547250567992,0.038625,0.960625,0.035233534585298,0.9362653757056352,-0.1961695104885729,309
lung,spsm_global,baseline,40000,0,2,0.7590786106799783,0.1488296115251089,0.03875,0.961375,0.0352335530381402,0.9414056012702564,-0.2043120262367036,310
lung,spsm_global,baseline,40000,0,3,0.7511690926632828,0.1382198635644802,0.03875,0.960875,0.0355163573384258,0.8797808628916985,-0.3422707994966698,310
lung,spsm_global,baseline,40000,0,4,0.7714277025042997,0.16965863469517,0.03875,0.9615,0.0348053077340581,0.974242372016599,-0.1261080046277856,310
lung,spsm_global,baseline,40000,1,0,0.7781118097519943,0.170843584008361,0.038625,0.9615,0.0346442876638813,1.0152675935946158,-0.0295696216115955,309
lung,spsm_global,baseline,40000,1,1,0.7450670497479717,0.1501461180918962,0.038625,0.96075,0.0351659800079061,0.8778619515084549,-0.4044528340098907,309
lung,spsm_global,baseline,40000,1,2,0.7749553253072697,0.1735879293766774,0.03875,0.961375,0.0346775333323864,1.0735676562292042,0.2140236322086723,310
lung,spsm_global,baseline,40000,1,3,0.7544991400646001,0.1377744566688035,0.03875,0.960875,0.035614248204786,0.8586597831247826,-0.4257175702923959,310
lung,spsm_global,baseline,40000,1,4,0.7784970007131172,0.1652247242552574,0.03875,0.961125,0.0348668113094466,1.0252903834499532,0.0435785575682257,310
lung,spsm_global,baseline,40000,2,0,0.7635076765639154,0.1500906568442773,0.038625,0.96025,0.0353586271585221,0.8969900296848585,-0.3462963407155589,309
lung,spsm_global,baseline,40000,2,1,0.7665408944763328,0.15506212537754,0.038625,0.961375,0.0349518021083743,1.0051418773344385,-0.00167770017447,309
lung,spsm_global,baseline,40000,2,2,0.7761193842023575,0.1818611458489312,0.03875,0.96175,0.0346042025523927,1.0181792763538384,0.0054443224918935,310
lung,spsm_global,baseline,40000,2,3,0.7633420026007802,0.1404898144708676,0.03875,0.96125,0.0353854214799926,0.9432076032603072,-0.2039567728865692,310
lung,spsm_global,baseline,40000,2,4,0.7742084399513403,0.1639494284566134,0.03875,0.96125,0.0349037336422949,0.9821425136789456,-0.0729217992449638,310
lung,spsm_global,baseline,40000,3,0,0.767746018441258,0.1735396079464075,0.038625,0.961625,0.0345780217630061,0.9718077031887032,-0.1293029009986704,309
lung,spsm_global,baseline,40000,3,1,0.7602760592278034,0.1355300277632113,0.038625,0.961,0.035501637695315,0.9123942529128494,-0.2759660364572364,309
lung,spsm_global,baseline,40000,3,2,0.7725451990435841,0.160287189660389,0.03875,0.9615,0.0349511922290895,1.0138398578974206,-0.0060804105541659,310
lung,spsm_global,baseline,40000,3,3,0.7566015772473677,0.1405092857499382,0.03875,0.960875,0.0354971925630592,0.8990342752243556,-0.3169922197526364,310
lung,spsm_global,baseline,40000,3,4,0.763304249339318,0.161556008603613,0.03875,0.961,0.0349819084487258,0.959487506060364,-0.1438811344126372,310
lung,spsm_global,baseline,40000,4,0,0.7801723865872733,0.1620249742824242,0.038625,0.9615,0.0347746720655811,1.0163564152487896,0.0179627769419163,309
lung,spsm_global,baseline,40000,4,1,0.7612787863257141,0.1696704798797125,0.038625,0.961125,0.0346524911464659,0.9920324789852846,-0.0378670390431177,309
lung,spsm_global,baseline,40000,4,2,0.7451235370611184,0.1263526919649651,0.03875,0.960375,0.0359669327668692,0.8163624333197693,-0.5442460547121022,310
lung,spsm_global,baseline,40000,4,3,0.7866051428331725,0.1751601776165956,0.03875,0.961125,0.0345983295822724,1.04244367634205,0.0441275618083474,310
lung,spsm_global,baseline,40000,4,4,0.7558242795419271,0.157915021033458,0.03875,0.9615,0.0350516260237495,0.9425180439641002,-0.2079515224427238,310
lung,spsm_global,baseline,40000,5,0,0.7806133677029302,0.1512441882342867,0.038625,0.96125,0.0351165146928129,0.9599703369201076,-0.1680177725779725,309
lung,spsm_global,baseline,40000,5,1,0.7712812310778917,0.1420841701965733,0.038625,0.960875,0.0352875762236614,0.951470678095158,-0.1827026026565567,309
