cohort,target,kappa,feature_set,seed,fold,auprc
ovarian,ancestors,0.0,baseline,0,0,0.10868653632001593
ovarian,global,0.0,baseline,0,0,0.10868653632001593
ovarian,ancestors,200.0,baseline,0,0,0.10877023189038934
ovarian,global,200.0,baseline,0,0,0.10863922910606706
ovarian,ancestors,500.0,baseline,0,0,0.10889272102502823
ovarian,global,500.0,baseline,0,0,0.10852213563414932
ovarian,ancestors,1000.0,baseline,0,0,0.10893683722862979
ovarian,global,1000.0,baseline,0,0,0.10833011566516249
ovarian,ancestors,2000.0,baseline,0,0,0.1090277736170217
ovarian,global,2000.0,baseline,0,0,0.10803498312529707
ovarian,ancestors,5000.0,baseline,0,0,0.10896816636923216
ovarian,global,5000.0,baseline,0,0,0.10718536504546039
ovarian,ancestors,10000.0,baseline,0,0,0.10889610982924267
ovarian,global,10000.0,baseline,0,0,0.10650989709732844
ovarian,ancestors,50000.0,baseline,0,0,0.10554243892950933
ovarian,global,50000.0,baseline,0,0,0.10428276437869252
ovarian,ancestors,1000000.0,baseline,0,0,0.09599441666634673
ovarian,global,1000000.0,baseline,0,0,0.10154818921608849
ovarian,ancestors,0.0,baseline,0,1,0.07982328755231363
ovarian,global,0.0,baseline,0,1,0.07982328755231363
ovarian,ancestors,200.0,baseline,0,1,0.07976677204778636
ovarian,global,200.0,baseline,0,1,0.07971963342612585
ovarian,ancestors,500.0,baseline,0,1,0.07970276854706933
ovarian,global,500.0,baseline,0,1,0.07958233385678358
ovarian,ancestors,1000.0,baseline,0,1,0.07967299772164521
ovarian,global,1000.0,baseline,0,1,0.07941079225016952
ovarian,ancestors,2000.0,baseline,0,1,0.07978241770185152
ovarian,global,2000.0,baseline,0,1,0.07902671363188808
ovarian,ancestors,5000.0,baseline,0,1,0.07982410173478635
ovarian,global,5000.0,baseline,0,1,0.07804051291371562
ovarian,ancestors,10000.0,baseline,0,1,0.07940747120164027
ovarian,global,10000.0,baseline,0,1,0.07721466755605037
ovarian,ancestors,50000.0,baseline,0,1,0.07726591788928154
ovarian,global,50000.0,baseline,0,1,0.07542671178745883
ovarian,ancestors,1000000.0,baseline,0,1,0.07279224663107937
ovarian,global,1000000.0,baseline,0,1,0.07470269416007524
ovarian,ancestors,0.0,baseline,0,2,0.10535011642839945
ovarian,global,0.0,baseline,0,2,0.10535011642839945
ovarian,ancestors,200.0,baseline,0,2,0.10528722327190018
ovarian,global,200.0,baseline,0,2,0.10517369684680723
ovarian,ancestors,500.0,baseline,0,2,0.10517220534965832
ovarian,global,500.0,baseline,0,2,0.10522619342134545
ovarian,ancestors,1000.0,baseline,0,2,0.10516878507263194
ovarian,global,1000.0,baseline,0,2,0.10522802552886847
ovarian,ancestors,2000.0,baseline,0,2,0.10515610635835904
ovarian,global,2000.0,baseline,0,2,0.10499118807958137
ovarian,ancestors,5000.0,baseline,0,2,0.10466959286206733
ovarian,global,5000.0,baseline,0,2,0.10387670511337502
ovarian,ancestors,10000.0,baseline,0,2,0.10401472081489153
ovarian,global,10000.0,baseline,0,2,0.10252259387155864
ovarian,ancestors,50000.0,baseline,0,2,0.1024322914729146
ovarian,global,50000.0,baseline,0,2,0.09782399091411642
ovarian,ancestors,1000000.0,baseline,0,2,0.09422885230291528
ovarian,global,1000000.0,baseline,0,2,0.09350717071124365
ovarian,ancestors,0.0,baseline,0,3,0.10451041068802526
ovarian,global,0.0,baseline,0,3,0.10451041068802526
ovarian,ancestors,200.0,baseline,0,3,0.10456585825134246
ovarian,global,200.0,baseline,0,3,0.10480271883536996
ovarian,ancestors,500.0,baseline,0,3,0.10462374518581669
ovarian,global,500.0,baseline,0,3,0.10516543591481772
ovarian,ancestors,1000.0,baseline,0,3,0.10470027583770143
ovarian,global,1000.0,baseline,0,3,0.10547390206142626
ovarian,ancestors,2000.0,baseline,0,3,0.10529392965157076
ovarian,global,2000.0,baseline,0,3,0.10537250767859255
ovarian,ancestors,5000.0,baseline,0,3,0.10644128593041509
ovarian,global,5000.0,baseline,0,3,0.10568099824329354
ovarian,ancestors,10000.0,baseline,0,3,0.1067871026605262
ovarian,global,10000.0,baseline,0,3,0.10563250489662315
ovarian,ancestors,50000.0,baseline,0,3,0.1116820056293906
ovarian,global,50000.0,baseline,0,3,0.10826492306396451
ovarian,ancestors,1000000.0,baseline,0,3,0.11408988470213625
ovarian,global,1000000.0,baseline,0,3,0.10939605214510092
ovarian,ancestors,0.0,baseline,0,4,0.10387286059134064
ovarian,global,0.0,baseline,0,4,0.10387286059134064
ovarian,ancestors,200.0,baseline,0,4,0.1039248019831802
ovarian,global,200.0,baseline,0,4,0.10376476553106412
ovarian,ancestors,500.0,baseline,0,4,0.10384880852010832
ovarian,global,500.0,baseline,0,4,0.10374474703806032
ovarian,ancestors,1000.0,baseline,0,4,0.10386675452480751
ovarian,global,1000.0,baseline,0,4,0.10356601799871147
ovarian,ancestors,2000.0,baseline,0,4,0.10390117129255512
ovarian,global,2000.0,baseline,0,4,0.10375453503286651
ovarian,ancestors,5000.0,baseline,0,4,0.10398113705386158
ovarian,global,5000.0,baseline,0,4,0.10438835434906439
ovarian,ancestors,10000.0,baseline,0,4,0.10352999314632859
ovarian,global,10000.0,baseline,0,4,0.1038953271010304
ovarian,ancestors,50000.0,baseline,0,4,0.10232259347632235
ovarian,global,50000.0,baseline,0,4,0.1040144837120962
ovarian,ancestors,1000000.0,baseline,0,4,0.1012571511308792
ovarian,global,1000000.0,baseline,0,4,0.1048446528433248
ovarian,ancestors,0.0,baseline,1,0,0.11467024271777757
ovarian,global,0.0,baseline,1,0,0.11467024271777757
ovarian,ancestors,200.0,baseline,1,0,0.11473953883077412
ovarian,global,200.0,baseline,1,0,0.11464747520729333
ovarian,ancestors,500.0,baseline,1,0,0.115156516555704
ovarian,global,500.0,baseline,1,0,0.11486022710765227
ovarian,ancestors,1000.0,baseline,1,0,0.11533300110960451
ovarian,global,1000.0,baseline,1,0,0.11469679447567965
ovarian,ancestors,2000.0,baseline,1,0,0.11609089830896428
ovarian,global,2000.0,baseline,1,0,0.11445930375057702
ovarian,ancestors,5000.0,baseline,1,0,0.11695535600067726
ovarian,global,5000.0,baseline,1,0,0.11382168199073801
ovarian,ancestors,10000.0,baseline,1,0,0.11847111398172529
ovarian,global,10000.0,baseline,1,0,0.11303014860676003
ovarian,ancestors,50000.0,baseline,1,0,0.11908920122603894
ovarian,global,50000.0,baseline,1,0,0.11394041050985274
ovarian,ancestors,1000000.0,baseline,1,0,0.11145553676912939
ovarian,global,1000000.0,baseline,1,0,0.11466846962017324
ovarian,ancestors,0.0,baseline,1,1,0.1035230031513484
ovarian,global,0.0,baseline,1,1,0.1035230031513484
ovarian,ancestors,200.0,baseline,1,1,0.10352945833691904
ovarian,global,200.0,baseline,1,1,0.10381983364089281
ovarian,ancestors,500.0,baseline,1,1,0.1035052624973948
ovarian,global,500.0,baseline,1,1,0.10396185252788487
ovarian,ancestors,1000.0,baseline,1,1,0.10349114223093189
ovarian,global,1000.0,baseline,1,1,0.10412130794647484
ovarian,ancestors,2000.0,baseline,1,1,0.10448835631665886
ovarian,global,2000.0,baseline,1,1,0.10399622770979247
ovarian,ancestors,5000.0,baseline,1,1,0.10401768111247627
ovarian,global,5000.0,baseline,1,1,0.10429695151136943
ovarian,ancestors,10000.0,baseline,1,1,0.10457527356847642
ovarian,global,10000.0,baseline,1,1,0.10390199451691465
ovarian,ancestors,50000.0,baseline,1,1,0.10405873396400442
ovarian,global,50000.0,baseline,1,1,0.10236349388808046
ovarian,ancestors,1000000.0,baseline,1,1,0.0986118410829772
ovarian,global,1000000.0,baseline,1,1,0.10048587324491909
ovarian,ancestors,0.0,baseline,1,2,0.09204502835773459
ovarian,global,0.0,baseline,1,2,0.09204502835773459
ovarian,ancestors,200.0,baseline,1,2,0.09203584360030782
ovarian,global,200.0,baseline,1,2,0.09204321539362739
ovarian,ancestors,500.0,baseline,1,2,0.09192246562000445
ovarian,global,500.0,baseline,1,2,0.09196463932540833
ovarian,ancestors,1000.0,baseline,1,2,0.09187563672896609
ovarian,global,1000.0,baseline,1,2,0.09413212293715897
ovarian,ancestors,2000.0,baseline,1,2,0.09432656053871934
ovarian,global,2000.0,baseline,1,2,0.09396116851459727
ovarian,ancestors,5000.0,baseline,1,2,0.09436306516598748
ovarian,global,5000.0,baseline,1,2,0.09113234586531677
ovarian,ancestors,10000.0,baseline,1,2,0.09448433184804922
ovarian,global,10000.0,baseline,1,2,0.0895722056193074
ovarian,ancestors,50000.0,baseline,1,2,0.08929086633436209
ovarian,global,50000.0,baseline,1,2,0.08467779115005489
ovarian,ancestors,1000000.0,baseline,1,2,0.08593114764537439
ovarian,global,1000000.0,baseline,1,2,0.08202256085425357
ovarian,ancestors,0.0,baseline,1,3,0.0793409589539118
ovarian,global,0.0,baseline,1,3,0.0793409589539118
ovarian,ancestors,200.0,baseline,1,3,0.0793481209881689
ovarian,global,200.0,baseline,1,3,0.07936801160021771
ovarian,ancestors,500.0,baseline,1,3,0.07933498775596895
ovarian,global,500.0,baseline,1,3,0.07930218221359346
ovarian,ancestors,1000.0,baseline,1,3,0.07950422214964721
ovarian,global,1000.0,baseline,1,3,0.07929169631255419
ovarian,ancestors,2000.0,baseline,1,3,0.07971715897950384
ovarian,global,2000.0,baseline,1,3,0.07964935471044046
ovarian,ancestors,5000.0,baseline,1,3,0.08042154456989749
ovarian,global,5000.0,baseline,1,3,0.07996943058561869
ovarian,ancestors,10000.0,baseline,1,3,0.08126306884971292
ovarian,global,10000.0,baseline,1,3,0.08053569046215185
ovarian,ancestors,50000.0,baseline,1,3,0.08330874246462268
ovarian,global,50000.0,baseline,1,3,0.08235658144857072
ovarian,ancestors,1000000.0,baseline,1,3,0.0842384208938141
ovarian,global,1000000.0,baseline,1,3,0.08092966059151982
ovarian,ancestors,0.0,baseline,1,4,0.09535692348752603
ovarian,global,0.0,baseline,1,4,0.09535692348752603
ovarian,ancestors,200.0,baseline,1,4,0.09527786031352987
ovarian,global,200.0,baseline,1,4,0.09535214430292355
ovarian,ancestors,500.0,baseline,1,4,0.09529306551974984
ovarian,global,500.0,baseline,1,4,0.0955840592620677
ovarian,ancestors,1000.0,baseline,1,4,0.09539159313899025
ovarian,global,1000.0,baseline,1,4,0.09576017288777748
ovarian,ancestors,2000.0,baseline,1,4,0.09538139196827963
ovarian,global,2000.0,baseline,1,4,0.09602483235521782
ovarian,ancestors,5000.0,baseline,1,4,0.09584580807626784
ovarian,global,5000.0,baseline,1,4,0.09660521300537481
ovarian,ancestors,10000.0,baseline,1,4,0.0962274351490581
ovarian,global,10000.0,baseline,1,4,0.09710239456421993
ovarian,ancestors,50000.0,baseline,1,4,0.09590624074736362
ovarian,global,50000.0,baseline,1,4,0.097633842016
ovarian,ancestors,1000000.0,baseline,1,4,0.09512190173437257
ovarian,global,1000000.0,baseline,1,4,0.09648724659395098
ovarian,ancestors,0.0,baseline,2,0,0.09790518012237627
ovarian,global,0.0,baseline,2,0,0.09790518012237627
ovarian,ancestors,200.0,baseline,2,0,0.09807322384102825
ovarian,global,200.0,baseline,2,0,0.0979743863663656
ovarian,ancestors,500.0,baseline,2,0,0.09828802972247885
ovarian,global,500.0,baseline,2,0,0.09795604491711284
ovarian,ancestors,1000.0,baseline,2,0,0.09837630438612918
ovarian,global,1000.0,baseline,2,0,0.09803311454447479
ovarian,ancestors,2000.0,baseline,2,0,0.09879810628451492
ovarian,global,2000.0,baseline,2,0,0.09651948724176843
ovarian,ancestors,5000.0,baseline,2,0,0.0980804381652933
ovarian,global,5000.0,baseline,2,0,0.09658294184734198
ovarian,ancestors,10000.0,baseline,2,0,0.09851562845675924
ovarian,global,10000.0,baseline,2,0,0.09632203790535268
ovarian,ancestors,50000.0,baseline,2,0,0.09954766433782622
ovarian,global,50000.0,baseline,2,0,0.09227660071534946
ovarian,ancestors,1000000.0,baseline,2,0,0.09842288812715472
ovarian,global,1000000.0,baseline,2,0,0.0908036227081009
ovarian,ancestors,0.0,baseline,2,1,0.10959649995528883
ovarian,global,0.0,baseline,2,1,0.10959649995528883
ovarian,ancestors,200.0,baseline,2,1,0.10969526241112362
ovarian,global,200.0,baseline,2,1,0.10951979225044277
ovarian,ancestors,500.0,baseline,2,1,0.10975865019084671
ovarian,global,500.0,baseline,2,1,0.10926563163609057
ovarian,ancestors,1000.0,baseline,2,1,0.11005357699301761
ovarian,global,1000.0,baseline,2,1,0.10667433299393955
ovarian,ancestors,2000.0,baseline,2,1,0.11113154353310399
ovarian,global,2000.0,baseline,2,1,0.1067172588608099
ovarian,ancestors,5000.0,baseline,2,1,0.11303565129945344
ovarian,global,5000.0,baseline,2,1,0.10736411633846629
ovarian,ancestors,10000.0,baseline,2,1,0.1114424778793402
ovarian,global,10000.0,baseline,2,1,0.1079528251705974
ovarian,ancestors,50000.0,baseline,2,1,0.11165907469520027
ovarian,global,50000.0,baseline,2,1,0.10873221284961282
ovarian,ancestors,1000000.0,baseline,2,1,0.11169052301484646
ovarian,global,1000000.0,baseline,2,1,0.1076130929283316
ovarian,ancestors,0.0,baseline,2,2,0.10144273969998073
ovarian,global,0.0,baseline,2,2,0.10144273969998073
ovarian,ancestors,200.0,baseline,2,2,0.10164862383909348
ovarian,global,200.0,baseline,2,2,0.10159829385054993
ovarian,ancestors,500.0,baseline,2,2,0.10168870315323222
ovarian,global,500.0,baseline,2,2,0.1016083091205558
ovarian,ancestors,1000.0,baseline,2,2,0.10170625570836068
ovarian,global,1000.0,baseline,2,2,0.10179672648709533
ovarian,ancestors,2000.0,baseline,2,2,0.10167595204369079
ovarian,global,2000.0,baseline,2,2,0.102135842806377
ovarian,ancestors,5000.0,baseline,2,2,0.10205073362372696
ovarian,global,5000.0,baseline,2,2,0.1022238721688881
ovarian,ancestors,10000.0,baseline,2,2,0.10153643121177178
ovarian,global,10000.0,baseline,2,2,0.10236803228155171
ovarian,ancestors,50000.0,baseline,2,2,0.10020055641152342
ovarian,global,50000.0,baseline,2,2,0.10202014375037076
ovarian,ancestors,1000000.0,baseline,2,2,0.09586083525322031
ovarian,global,1000000.0,baseline,2,2,0.10104776516533658
ovarian,ancestors,0.0,baseline,2,3,0.10916130980419908
ovarian,global,0.0,baseline,2,3,0.10916130980419908
ovarian,ancestors,200.0,baseline,2,3,0.10897424597836025
ovarian,global,200.0,baseline,2,3,0.10896002973985608
ovarian,ancestors,500.0,baseline,2,3,0.10901708280099179
ovarian,global,500.0,baseline,2,3,0.1084280245022785
ovarian,ancestors,1000.0,baseline,2,3,0.10891039982821857
ovarian,global,1000.0,baseline,2,3,0.10792602058534842
ovarian,ancestors,2000.0,baseline,2,3,0.10894224946676508
ovarian,global,2000.0,baseline,2,3,0.10701073586835493
ovarian,ancestors,5000.0,baseline,2,3,0.1094964407581701
ovarian,global,5000.0,baseline,2,3,0.10524697787011743
ovarian,ancestors,10000.0,baseline,2,3,0.10953465962656266
ovarian,global,10000.0,baseline,2,3,0.10373144706144712
ovarian,ancestors,50000.0,baseline,2,3,0.10699916281109885
ovarian,global,50000.0,baseline,2,3,0.10143786026917476
ovarian,ancestors,1000000.0,baseline,2,3,0.09759519734317662
ovarian,global,1000000.0,baseline,2,3,0.09999007719353767
ovarian,ancestors,0.0,baseline,2,4,0.08142184893977002
ovarian,global,0.0,baseline,2,4,0.08142184893977002
ovarian,ancestors,200.0,baseline,2,4,0.08144772929424335
ovarian,global,200.0,baseline,2,4,0.08156796723147844
ovarian,ancestors,500.0,baseline,2,4,0.08159889738070158
ovarian,global,500.0,baseline,2,4,0.08161803487799796
ovarian,ancestors,1000.0,baseline,2,4,0.08175848864782068
ovarian,global,1000.0,baseline,2,4,0.08185079114116213
ovarian,ancestors,2000.0,baseline,2,4,0.0820327643995751
ovarian,global,2000.0,baseline,2,4,0.08216884837173137
ovarian,ancestors,5000.0,baseline,2,4,0.08285396161283912
ovarian,global,5000.0,baseline,2,4,0.0821374920565833
ovarian,ancestors,10000.0,baseline,2,4,0.08319385365730059
ovarian,global,10000.0,baseline,2,4,0.08160839680869213
ovarian,ancestors,50000.0,baseline,2,4,0.08250047500250124
ovarian,global,50000.0,baseline,2,4,0.08166689601316354
ovarian,ancestors,1000000.0,baseline,2,4,0.0786126303372415
ovarian,global,1000000.0,baseline,2,4,0.08164583765973714
