cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
ovarian,ours,baseline,40000,0,0,0.740242985512562,0.1091281486808553,0.02625,0.973625,0.0245572407950356,0.9286778132907406,-0.2224811867411146,210
ovarian,ours,baseline,40000,0,1,0.7527336634268599,0.0797688576653518,0.02625,0.9735,0.0251361219532108,0.8599930381943758,-0.4166808013916421,210
ovarian,ours,baseline,40000,0,2,0.763236750412617,0.104918541325665,0.02625,0.97375,0.0246020877383338,1.0436475075344809,0.2053423207444938,210
ovarian,ours,baseline,40000,0,3,0.7591438963261813,0.1062311508997829,0.02625,0.97375,0.0246349348471775,0.9482822465989064,-0.1472658273496774,210
ovarian,ours,baseline,40000,0,4,0.7490661578273893,0.1035989515799934,0.026375,0.973625,0.024761376736863,0.9219713819840968,-0.2201205552600323,211
ovarian,ours,baseline,40000,1,0,0.7886884895164742,0.1165057963470551,0.02625,0.97375,0.0243941457637887,1.130637259237131,0.4177660333325557,210
ovarian,ours,baseline,40000,1,1,0.7536288892964118,0.1045526186143319,0.02625,0.973625,0.0246519392136834,0.951587725728649,-0.1209953738325351,210
ovarian,ours,baseline,40000,1,2,0.7215966746133627,0.0943686032049756,0.02625,0.9735,0.0248515074608423,0.8420300897060893,-0.4770082051073798,210
ovarian,ours,baseline,40000,1,3,0.7343171954275933,0.0799437104350989,0.02625,0.973625,0.0250614904429595,0.8251043401188725,-0.5221036358160439,210
ovarian,ours,baseline,40000,1,4,0.7402005136664356,0.0956461287952449,0.026375,0.973625,0.024880145266369,0.8925792249748052,-0.322055251051682,211
ovarian,ours,baseline,40000,2,0,0.7310862522159057,0.0977768987038098,0.02625,0.974,0.0248229558555485,0.8382264178709187,-0.5191935704880821,210
ovarian,ours,baseline,40000,2,1,0.7437523687266948,0.1114298875219439,0.02625,0.97375,0.0245425722057667,0.9621347512568726,-0.0623609634720473,210
ovarian,ours,baseline,40000,2,2,0.7662962283758177,0.1017168194791083,0.02625,0.973625,0.0246595250541158,1.0034974610964646,0.0651319665327545,210
ovarian,ours,baseline,40000,2,3,0.7538957148969986,0.1092214239971413,0.02625,0.973625,0.0245443572598784,0.9682544295783632,-0.0971595642867329,210
ovarian,ours,baseline,40000,2,4,0.737791295173227,0.0822213948912456,0.026375,0.973375,0.0251543297492638,0.8605127918054349,-0.4080613903251811,211
ovarian,ours,baseline,40000,3,0,0.7496986368359925,0.1142336792085738,0.02625,0.9735,0.0244970126987529,0.9946732051760694,0.0116590362995449,210
ovarian,ours,baseline,40000,3,1,0.7366006479613669,0.0899712411969727,0.02625,0.97375,0.0248548683293257,0.8580570018661718,-0.4206945541961289,210
ovarian,ours,baseline,40000,3,2,0.7708790268353811,0.1035918906166363,0.02625,0.97375,0.0246426569869837,1.0143408998396335,0.0874419497585771,210
ovarian,ours,baseline,40000,3,3,0.7319481630906535,0.0919986180682442,0.02625,0.9735,0.0248775671542156,0.8504308805160002,-0.4743423250102294,210
ovarian,ours,baseline,40000,3,4,0.7468756826220475,0.0976333957890845,0.026375,0.973375,0.0248576329009653,0.9378852167953317,-0.1569013808509372,211
ovarian,ours,baseline,40000,4,0,0.714714530228009,0.087138828034709,0.02625,0.973625,0.0249189563550257,0.8074306059476605,-0.5843514885438789,210
ovarian,ours,baseline,40000,4,1,0.7722467754752735,0.1197970079398727,0.02625,0.9735,0.0244968314856951,1.0796494703941353,0.3014899293988708,210
ovarian,ours,baseline,40000,4,2,0.7339760987835443,0.0998669290175263,0.02625,0.973875,0.0247208176253387,0.88186558387125,-0.3400790817122109,210
ovarian,ours,baseline,40000,4,3,0.7518048169203496,0.0840846202227276,0.02625,0.9735,0.0250081516660836,0.888917623035086,-0.3376518466642739,210
ovarian,ours,baseline,40000,4,4,0.7687433182900419,0.1017351617096296,0.026375,0.9735,0.0247800329541168,0.991908941443392,-0.0094934126761617,211
ovarian,ours,baseline,40000,5,0,0.7320643071092364,0.1130123042432967,0.02625,0.973625,0.0245174525282455,0.9170363728899416,-0.2187135989126445,210
ovarian,ours,baseline,40000,5,1,0.7273916498563482,0.0885438659021115,0.02625,0.973875,0.0249654604888602,0.8250849980147467,-0.5429136338533648,210
ovarian,ours,baseline,40000,5,2,0.749180267742527,0.0757620122680793,0.02625,0.9735,0.0252211812480286,0.866417487822484,-0.3713262719412252,210
ovarian,ours,baseline,40000,5,3,0.7658478513356561,0.1096758445408094,0.02625,0.974,0.0245545722984371,1.002345129161195,0.0170803099698472,210
ovarian,ours,baseline,40000,5,4,0.7777178777459279,0.1263572039287138,0.026375,0.973375,0.0245011874929681,1.0830022424876824,0.2939279316131591,211
ovarian,ours,baseline,40000,6,0,0.731317317684455,0.0953329151400595,0.02625,0.97375,0.0247866161106329,0.8691399534527691,-0.4113354322845547,210
ovarian,ours,baseline,40000,6,1,0.7679897915520508,0.1176457145986715,0.02625,0.973875,0.0244450995534492,1.048659677776928,0.1846783745185957,210
ovarian,ours,baseline,40000,6,2,0.7395956354300385,0.1044355136921898,0.02625,0.97375,0.024646680870457,0.9150835208986308,-0.2177859439382162,210
ovarian,ours,baseline,40000,6,3,0.7442193899382602,0.0955673692150551,0.02625,0.9735,0.0248207081529598,0.9183601280153773,-0.2207848621418316,210
