cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,baseline,40000,16,13,13,0.17141428805572634
prostate,baseline,40000,18,16,16,0.048734216084758926
prostate,baseline,40000,19,18,18,0.01801424023927361
prostate,baseline,40000,20,13,13,0.13129949145893607
prostate,baseline,40000,26,20,20,0.14989677205851637
prostate,baseline,40000,26,19,19,0.12417075324210099
prostate,baseline,40000,31,20,20,0.04511254178988015
prostate,baseline,40000,31,13,13,0.1284605368644472
prostate,baseline,40000,32,20,20,0.04742170415470661
prostate,baseline,40000,32,13,13,0.12648988890370993
prostate,baseline,40000,32,31,31,0.015638338873015915
prostate,baseline,40000,32,20,20,0.01780174949096906
prostate,baseline,40000,33,31,31,0.003190026679909917
prostate,baseline,40000,33,32,32,0.01310852217108277
prostate,baseline,40000,34,33,33,0.009466358056572116
prostate,baseline,40000,34,32,32,0.013774939004626816
prostate,baseline,40000,34,31,31,0.022805306276380867
prostate,baseline,40000,35,34,34,0.05648395693488173
prostate,baseline,40000,37,33,33,0.11262514982364102
prostate,baseline,40000,37,32,32,0.1065401410435001
prostate,baseline,40000,37,16,16,0.15075220646662366
prostate,baseline,40000,37,33,33,0.11182016559535066
prostate,baseline,40000,37,32,32,0.007277476537582779
prostate,baseline,40000,38,37,37,0.01173518091812063
prostate,baseline,40000,38,32,32,0.017021481147858862
prostate,baseline,40000,38,32,32,0.11160107010328482
prostate,baseline,40000,38,31,31,0.018867241608160005
prostate,baseline,40000,38,35,35,0.004514283215342311
prostate,baseline,40000,38,32,32,0.12668695334600266
prostate,baseline,40000,38,16,16,0.20668628381857912
prostate,baseline,40000,39,38,38,0.05017957036801957
prostate,baseline,40000,40,39,39,0.008250520981665673
prostate,baseline,40000,40,35,35,0.006487087045668449
prostate,baseline,40000,40,33,33,0.12026523579129753
prostate,baseline,40000,42,37,37,0.1096090812695186
prostate,baseline,40000,42,16,16,0.19280262236544277
prostate,baseline,40000,43,37,37,0.11739147993522397
prostate,baseline,40000,43,16,16,0.21555181181680666
prostate,baseline,40000,46,34,34,0.19850139376343287
prostate,baseline,40000,46,33,33,0.18544548513904427
prostate,baseline,40000,48,37,37,0.05657955362013357
prostate,baseline,40000,49,38,38,0.027086077192370356
prostate,baseline,40000,49,34,34,0.11896604086608101
prostate,baseline,40000,49,34,34,0.023461837967607774
prostate,baseline,40000,49,13,13,0.23445144139466892
prostate,baseline,40000,50,20,20,0.12983594880770874
prostate,baseline,40000,51,40,40,0.01428398892220759
prostate,baseline,40000,51,38,38,0.01591632576859765
prostate,baseline,40000,51,34,34,0.12235668976062597
prostate,baseline,40000,51,16,16,0.16122514978216165
prostate,baseline,40000,52,51,51,0.02030442863781666
prostate,baseline,40000,52,49,49,0.05041397665887723
prostate,baseline,40000,53,34,34,0.027447635673102502
prostate,baseline,40000,53,40,40,0.015280768392750142
prostate,baseline,40000,53,38,38,0.015331450919435741
prostate,baseline,40000,53,34,34,0.11388707373187679
prostate,baseline,40000,54,33,33,0.02043177538243977
prostate,baseline,40000,54,34,34,0.03066992913104028
prostate,baseline,40000,54,33,33,0.029986229833375618
prostate,baseline,40000,54,52,52,0.24946063319146747
prostate,baseline,40000,54,50,50,0.17045876049952477
prostate,baseline,40000,54,46,46,0.2039971158407475
prostate,baseline,40000,54,49,49,0.19800501373508061
prostate,baseline,40000,55,20,20,0.036981479336395985
prostate,baseline,40000,55,37,37,0.09896654251534191
prostate,baseline,40000,55,16,16,0.17981395230254976
prostate,baseline,40000,55,32,32,0.14187295667563726
prostate,baseline,40000,55,31,31,0.14611170127293005
prostate,baseline,40000,55,32,32,0.07330905643428934
prostate,baseline,40000,55,32,32,0.13504335731088143
prostate,baseline,40000,55,31,31,0.058094893853123886
prostate,baseline,40000,55,32,32,0.10836207825981645
prostate,baseline,40000,55,31,31,0.10823596463130399
prostate,baseline,40000,55,16,16,0.19182053093123094
prostate,baseline,40000,56,20,20,0.05865093066775173
prostate,baseline,40000,56,20,20,0.06118447341870907
prostate,baseline,40000,56,52,52,0.006042158096286304
prostate,baseline,40000,56,48,48,0.026694466342029193
prostate,baseline,40000,57,56,56,0.0037338920368229513
prostate,baseline,40000,57,49,49,0.12517085981813775
prostate,baseline,40000,57,34,34,0.15220197317433426
prostate,baseline,40000,57,32,32,0.13416253793330432
prostate,baseline,40000,57,35,35,0.016544810944329972
prostate,baseline,40000,57,33,33,0.12337211556306046
prostate,baseline,40000,57,13,13,0.25212787128235187
prostate,baseline,40000,57,32,32,0.12528860006729953
prostate,baseline,40000,57,26,26,0.13308562263710777
prostate,baseline,40000,59,26,26,0.1985830781678746
prostate,baseline,40000,59,46,46,0.0739389698929626
prostate,baseline,40000,59,13,13,0.1316753385298619
prostate,baseline,40000,59,37,37,0.07781648099979885
prostate,baseline,40000,59,34,34,0.1337174620199978
prostate,baseline,40000,59,26,26,0.05542679742848547
prostate,baseline,40000,59,33,33,0.015698786613071867
prostate,baseline,40000,59,34,34,0.03230082584929761
prostate,baseline,40000,59,20,20,0.16284282319323612
prostate,baseline,40000,60,34,34,0.10453741561069456
prostate,baseline,40000,60,33,33,0.10503477455689342
prostate,baseline,40000,60,34,34,0.17965195369491174
prostate,baseline,40000,60,33,33,0.18701550664689323
prostate,baseline,40000,60,20,20,0.04652276992027827
prostate,baseline,40000,60,48,48,0.01118893543464444
prostate,baseline,40000,60,59,59,0.010313489146020078
prostate,baseline,40000,60,34,34,0.015226186102794095
prostate,baseline,40000,60,32,32,0.03502670618408035
prostate,baseline,40000,60,31,31,0.03578532289903575
prostate,baseline,40000,60,59,59,0.1398730853666915
prostate,baseline,40000,60,49,49,0.05861376092242861
prostate,baseline,40000,61,59,59,0.09763581403870945
prostate,baseline,40000,61,54,54,0.10201189096690401
prostate,baseline,40000,61,32,32,0.19150950824721114
prostate,baseline,40000,61,60,60,0.02599954605721988
prostate,baseline,40000,61,59,59,0.002461041904622514
prostate,baseline,40000,61,54,54,0.014446707587705322
prostate,baseline,40000,61,54,54,0.012676014846771092
prostate,baseline,40000,61,60,60,0.16254316900067423
prostate,baseline,40000,61,20,20,0.2491703687450785
prostate,baseline,40000,61,20,20,0.20430764828125056
prostate,baseline,40000,61,13,13,0.25200083404937185
prostate,baseline,40000,62,20,20,0.17887440831799112
prostate,baseline,40000,62,56,56,0.09007421278504604
prostate,baseline,40000,62,55,55,0.09627333920604028
prostate,baseline,40000,62,43,43,0.09247582038010847
prostate,baseline,40000,62,42,42,0.1090668732463523
prostate,baseline,40000,62,38,38,0.10555195524175824
prostate,baseline,40000,62,37,37,0.1908511284413989
prostate,baseline,40000,62,26,26,0.1634577589458019
prostate,baseline,40000,62,61,61,0.26597822737924764
prostate,baseline,40000,62,32,32,0.027881364445160574
prostate,baseline,40000,62,32,32,0.12567941678062908
prostate,baseline,40000,62,31,31,0.03268068146189972
prostate,baseline,40000,62,20,20,0.09389905648641375
prostate,baseline,40000,62,61,61,0.12119454523706125
prostate,baseline,40000,62,34,34,0.12447676807101388
prostate,baseline,40000,62,61,61,0.024030407399174634
prostate,baseline,40000,62,61,61,0.07913814272123276
prostate,baseline,40000,62,60,60,0.01618504596162075
prostate,baseline,40000,62,61,61,0.17025182097828323
prostate,baseline,40000,62,61,61,0.05209394826153177
prostate,baseline,40000,62,60,60,0.05426155183277197
prostate,baseline,40000,62,59,59,0.0437979341205062
prostate,baseline,40000,62,61,61,0.15710645755513564
prostate,baseline,40000,62,59,59,0.1498932864958818
prostate,baseline,40000,62,54,54,0.14585015134001625
prostate,baseline,40000,63,60,60,0.07644573289462624
prostate,baseline,40000,63,54,54,0.13356185118569772
prostate,baseline,40000,63,37,37,0.07353626751974615
prostate,baseline,40000,63,33,33,0.12633994268367216
prostate,baseline,40000,63,60,60,0.10716287700685952
prostate,baseline,40000,63,62,62,0.265121090596484
prostate,baseline,40000,63,62,62,0.24283577989728147
prostate,baseline,40000,63,20,20,0.1872598356322651
prostate,baseline,40000,63,33,33,0.027471029867310367
prostate,baseline,40000,63,20,20,0.17315897569953853
prostate,baseline,40000,63,62,62,0.16260052250096388
prostate,baseline,40000,63,62,62,0.12284209916475126
prostate,baseline,40000,63,60,60,0.012794967680975374
prostate,baseline,40000,63,34,34,0.02576244183867805
prostate,baseline,40000,63,32,32,0.12915147202044971
prostate,baseline,40000,63,31,31,0.13140780499446364
prostate,baseline,40000,63,32,32,0.0349586001627132
prostate,baseline,40000,63,20,20,0.14781176874513463
prostate,baseline,40000,63,32,32,0.1495753161426404
prostate,baseline,40000,63,26,26,0.10258536418458862
prostate,baseline,40000,63,20,20,0.05843151256232715
prostate,baseline,40000,63,34,34,0.026189128608302692
prostate,baseline,40000,63,33,33,0.0291028668723502
