cohort,target,kappa,feature_set,seed,fold,auprc
prostate,ancestors,0.0,baseline,0,0,0.15931921987267103
prostate,global,0.0,baseline,0,0,0.15931921987267103
prostate,ancestors,200.0,baseline,0,0,0.15937250261295352
prostate,global,200.0,baseline,0,0,0.15954441076936945
prostate,ancestors,500.0,baseline,0,0,0.15949416646947961
prostate,global,500.0,baseline,0,0,0.1594619197003296
prostate,ancestors,1000.0,baseline,0,0,0.1595314916651136
prostate,global,1000.0,baseline,0,0,0.15941209716780208
prostate,ancestors,2000.0,baseline,0,0,0.15963306382264283
prostate,global,2000.0,baseline,0,0,0.15927232864147728
prostate,ancestors,5000.0,baseline,0,0,0.1600606547979811
prostate,global,5000.0,baseline,0,0,0.15835819121652234
prostate,ancestors,10000.0,baseline,0,0,0.1604214042222083
prostate,global,10000.0,baseline,0,0,0.15662738754592775
prostate,ancestors,50000.0,baseline,0,0,0.15994385924433716
prostate,global,50000.0,baseline,0,0,0.15078576661366697
prostate,ancestors,1000000.0,baseline,0,0,0.15411211971226427
prostate,global,1000000.0,baseline,0,0,0.14632575082026375
prostate,ancestors,0.0,baseline,0,1,0.16248669940521235
prostate,global,0.0,baseline,0,1,0.16248669940521235
prostate,ancestors,200.0,baseline,0,1,0.1624585056653921
prostate,global,200.0,baseline,0,1,0.1625272285656943
prostate,ancestors,500.0,baseline,0,1,0.16263019318777916
prostate,global,500.0,baseline,0,1,0.1626908418061149
prostate,ancestors,1000.0,baseline,0,1,0.16270646346335416
prostate,global,1000.0,baseline,0,1,0.16260008505512713
prostate,ancestors,2000.0,baseline,0,1,0.16297593990128834
prostate,global,2000.0,baseline,0,1,0.1621518403808536
prostate,ancestors,5000.0,baseline,0,1,0.16297857126206225
prostate,global,5000.0,baseline,0,1,0.1610662845971392
prostate,ancestors,10000.0,baseline,0,1,0.1636863776255611
prostate,global,10000.0,baseline,0,1,0.15922994695180068
prostate,ancestors,50000.0,baseline,0,1,0.1621868840828798
prostate,global,50000.0,baseline,0,1,0.15444636876754056
prostate,ancestors,1000000.0,baseline,0,1,0.1560522923082395
prostate,global,1000000.0,baseline,0,1,0.15070110155537114
prostate,ancestors,0.0,baseline,0,2,0.1706989773289098
prostate,global,0.0,baseline,0,2,0.1706989773289098
prostate,ancestors,200.0,baseline,0,2,0.17075024863133045
prostate,global,200.0,baseline,0,2,0.1706259972334008
prostate,ancestors,500.0,baseline,0,2,0.17078154691789715
prostate,global,500.0,baseline,0,2,0.1706017007246867
prostate,ancestors,1000.0,baseline,0,2,0.1706749858393692
prostate,global,1000.0,baseline,0,2,0.1705682117024252
prostate,ancestors,2000.0,baseline,0,2,0.17063795771413337
prostate,global,2000.0,baseline,0,2,0.17034736579628745
prostate,ancestors,5000.0,baseline,0,2,0.1703400529203549
prostate,global,5000.0,baseline,0,2,0.16898308647933347
prostate,ancestors,10000.0,baseline,0,2,0.16958148043366797
prostate,global,10000.0,baseline,0,2,0.16675522618344144
prostate,ancestors,50000.0,baseline,0,2,0.16766707595145938
prostate,global,50000.0,baseline,0,2,0.15957371725216304
prostate,ancestors,1000000.0,baseline,0,2,0.1634008137533867
prostate,global,1000000.0,baseline,0,2,0.15217156770293963
prostate,ancestors,0.0,baseline,0,3,0.1481262052669453
prostate,global,0.0,baseline,0,3,0.1481262052669453
