cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
prostate,ours,baseline,40000,0,0,0.7458297785981053,0.1595369420441231,0.051375,0.948375,0.0461781763275679,1.0321445276140575,0.0806558847235762,411
prostate,ours,baseline,40000,0,1,0.7428630374543256,0.1629581053799499,0.051375,0.948625,0.0461413193749374,1.0118902231358005,0.0366026293086418,411
prostate,ours,baseline,40000,0,2,0.7405250075422904,0.1707059399678697,0.051375,0.94875,0.0459135101625627,1.0348431391581414,0.0815912366100002,411
prostate,ours,baseline,40000,0,3,0.739999211305645,0.147963468797053,0.051375,0.948625,0.0464280654938404,0.987923106974178,-0.0612216687689435,411
prostate,ours,baseline,40000,0,4,0.7437748220235323,0.1439842529437758,0.0515,0.94825,0.0466971553387744,0.9752675299154564,-0.0432616387876403,412
prostate,ours,baseline,40000,1,0,0.7463552542272895,0.1610116343716494,0.051375,0.9485,0.0460461979282937,1.0399853913740758,0.0827802861112987,411
prostate,ours,baseline,40000,1,1,0.7431645687717432,0.1437383541118876,0.051375,0.9485,0.0467113616439174,0.9709837701282732,-0.0729388230462753,411
prostate,ours,baseline,40000,1,2,0.7529738746597954,0.1674950731763081,0.051375,0.9485,0.0458760191108878,1.050542154712685,0.0934254558989208,411
prostate,ours,baseline,40000,1,3,0.7247665096010714,0.1542515924350589,0.051375,0.948375,0.0464289976257699,0.958631778493577,-0.0820674117801183,411
prostate,ours,baseline,40000,1,4,0.7493255510745122,0.1635811832960107,0.0515,0.9485,0.0462199047279543,1.0357296252344348,0.105250695710445,412
prostate,ours,baseline,40000,2,0,0.7221495511976452,0.150065048583413,0.051375,0.948625,0.0465184560259514,0.9007189670767763,-0.2652023752337626,411
prostate,ours,baseline,40000,2,1,0.7452406623878394,0.1550449389042772,0.051375,0.9485,0.0463629409579032,0.9860134660219504,-0.0387769768832261,411
prostate,ours,baseline,40000,2,2,0.7322733730053006,0.1458063527351714,0.051375,0.948375,0.0465515651824916,0.973230276521404,-0.0752438000263735,411
prostate,ours,baseline,40000,2,3,0.7400017761653359,0.1654085242848948,0.051375,0.94875,0.0460648505958628,1.0260512557887935,0.0738424048427981,411
prostate,ours,baseline,40000,2,4,0.7614067753888357,0.1659403447663933,0.0515,0.94825,0.0459940796533399,1.1045107745305844,0.2670652208261508,412
prostate,ours,baseline,40000,3,0,0.7258139341773644,0.1415145150424958,0.051375,0.948375,0.0468159781977557,0.9160701134010336,-0.2290922757282519,411
prostate,ours,baseline,40000,3,1,0.7594462980899169,0.1431399308494226,0.051375,0.94825,0.0465615715356326,1.029047271836966,0.0762139676799735,411
prostate,ours,baseline,40000,3,2,0.7579928241637996,0.1711775553887171,0.051375,0.9485,0.0458397934556813,1.090545134458562,0.2309498305004394,411
prostate,ours,baseline,40000,3,3,0.7328756341214826,0.1512845448288789,0.051375,0.948875,0.0464901265938379,0.9610163590960156,-0.0881756182581945,411
prostate,ours,baseline,40000,3,4,0.7350002686920073,0.1691068525154492,0.0515,0.94875,0.0460412388189022,1.0059426200860502,0.0086636869221936,412
prostate,ours,baseline,40000,4,0,0.7655365574260865,0.1690918720713026,0.051375,0.948625,0.0458437478662663,1.1082035955996443,0.259728150377282,411
prostate,ours,baseline,40000,4,1,0.732449546805323,0.1530560573947834,0.051375,0.9485,0.0463593193081602,0.9842630502251574,-0.0425346700216422,411
prostate,ours,baseline,40000,4,2,0.7362181272099872,0.1635860205303634,0.051375,0.948875,0.0461405942630906,0.9955016312088736,-0.0118752625909704,411
prostate,ours,baseline,40000,4,3,0.7330785786445294,0.1463372028007684,0.051375,0.94825,0.0467577331380538,0.9149759571293496,-0.2360248211113973,411
