dataset,n_dev,d,iota,cov30,eff_pat,n_pat,miss,prev,het,het_null,het_excess,auprc_impute,auprc_indicator,indicator_gain,seconds
cand_porto,60000,57,0.0504429624144591,0.9977666666666668,6.564316123981933,48.0,0.0249073099415204,0.0366,2.2255021407184605,1.600330848352968,0.6251712923654924,0.0531276858920522,0.0565792726329792,0.0034515867409269,1.0097742080688477
cand_acs,60000,45,0.3156777038222467,0.9955,17.778883954642282,86.0,0.1162048148148148,0.3768333333333333,0.3824947028321242,0.2513599260318905,0.1311347768002337,0.9988277155315308,0.9988913749232088,6.365939167818357e-05,1.1949028968811035
cand_higgs,60000,30,0.1514022015380971,1.0,4.409650905275921,6.0,0.2106672222222222,0.3429,0.8071885977348919,0.1023420259268239,0.704846571808068,0.6722002811611199,0.6793980677295695,0.0071977865684496,0.8830881118774414
cand_acs_income,60000,43,0.3378151496855505,0.9248166666666666,95.4312821712,950.0,0.2526666666666666,0.26785,1.03588250004236,0.5523340537729916,0.4835484462693683,0.737506783216322,0.7476914048525397,0.0101846216362176,3.3330278396606445
sweep_42080,60000,13,0.0144310941960476,0.9994833333333332,1.7425569398573213,13.0,0.5415641025641026,0.4998333333333333,0.5306069109466118,0.1177605354877411,0.4128463754588707,0.5663493692447658,0.5690646860564831,0.0027153168117173,0.5399758815765381
sweep_46703,60000,42,0.0583036385205696,0.99995,3.3814807302371848,7.0,0.4764261904761905,0.2966666666666667,0.3987873204536822,0.5170602388257819,-0.1182729183720996,0.988333039686338,0.9882542727610528,-7.876692528507867e-05,1.9633839130401611
sweep_42136,60000,15,0.1066456686695667,0.9992833333333332,5.557493416453561,26.0,0.4935222222222222,0.4974166666666667,0.366880601590425,0.3462547699211213,0.0206258316693036,0.9992350490862758,0.9994683435991288,0.000233294512853,1.0410189628601074
sweep_46725,60000,15,0.0572992232224003,0.9996666666666668,4.148663756403304,16.0,0.4884088888888889,0.4837166666666667,0.6198990299937482,0.5812997241766771,0.0385993058170711,0.5261117552418798,0.5520622718164607,0.0259505165745809,0.6963117122650146
sweep_42093,60000,37,0.184822200875855,0.9428333333333332,77.88611818751473,815.0,0.4483436936936937,0.49875,0.9488832744547778,0.9046007205760652,0.0442825538787124,0.9996347607870988,0.9996009860293642,-3.377475773469474e-05,4.322527170181274
sweep_42737,60000,35,0.149421120998342,0.9985,5.473532615553359,33.0,0.0870323809523809,0.4318833333333333,2.549546800909445,0.6421442123567523,1.9074025885526928,0.6126239710904123,0.616118720776871,0.0034947496864586,2.357893228530884
sweep_42739,60000,61,0.0945331345976985,0.9778,20.28914034853426,455.0,0.0892407103825136,0.34395,0.934733748971041,0.5802514322505153,0.3544823167205256,0.5988393276434606,0.619373113161655,0.0205337855181944,2.584390878677368
sweep_42333,44876,34,0.2461626075942518,0.934263303324717,49.3271995520067,665.0,0.4173841120368283,0.5003788216418575,1.0110940795227086,0.469162301035184,0.5419317784875246,0.9803241436924904,0.982543436298517,0.0022192926060267,1.387320041656494
sweep_41275,60000,8,0.0476113924243778,0.9991833333333332,3.256504336435197,15.0,0.1791458333333333,0.4717666666666666,0.3605832740726432,0.1010565124536711,0.2595267616189721,0.7658989426165581,0.7729410402579502,0.007042097641392,0.5735411643981934
sweep_46654,50110,42,0.0567310819717871,0.9999800439034124,3.3810070324209103,5.0,0.4763658047533521,0.060087806824985,0.3460194807512765,0.1268300676610955,0.2191894130901809,0.9518744409495148,0.9512881982353204,-0.0005862427141944,0.7368226051330566
cand_airbnb,60000,33,0.1646396770772269,0.9995333333333334,4.782727136429598,26.0,0.1858060606060606,0.4989833333333333,0.3993482686110542,0.1197944191438085,0.2795538494672457,0.8798150360953753,0.8870982311461468,0.0072831950507715,3.0035130977630615
cand_mimic4_regime,33458,57,0.2690468310715413,0.5468348377069759,852.6106432145318,6147.0,0.3728135719776457,0.111453165162293,1.6251987056614845,1.5150214521785506,0.1101772534829339,0.3875976881191403,0.4375636908542427,0.0499660027351023,0.6757152080535889
cand_nhanes,14910,52,0.2294852396382884,0.9078470824949698,15.62582474335164,421.0,0.1187961099932931,0.0723675385647216,0.8921138039878878,0.6890061557803001,0.2031076482075876,0.4714105690921324,0.5788841948295875,0.1074736257374551,0.7904791831970215
cand_eicu_regime,47496,57,0.25816058176357326,0.1986693616304531,8597.125367644629,21248.0,0.4798764217263725,0.08838639043287856,2.0423709218952157,1.8898775401229508,0.1524933817722649,0.3461855074300722,0.36692654086496257,0.020741033434890366,1.0922307968139648
