dataset,fold,coverage,rule,auprc,auroc,logloss,prevalence,full_auroc
mimic4,0,0.5,tree_confidence,0.09361565870109198,0.7447841293299852,0.08999769586865605,0.020229144289294666,0.8370982996054849
mimic4,0,0.5,lattice_support,0.43654125003501304,0.8670933888364715,0.22033652144901705,0.08986752595775152,0.8370982996054849
mimic4,0,0.5,pattern_depth,0.4929725375932222,0.8268563642097619,0.32884154157939033,0.15252416756176154,0.8370982996054849
mimic4,0,0.5,random,0.44523698926351957,0.8392545158313116,0.2585041728312924,0.10723236663086287,0.8370982996054849
mimic4,0,0.7,tree_confidence,0.18374676899159248,0.778807417887612,0.15305929567238952,0.04270553637642245,0.8370982996054849
mimic4,0,0.7,lattice_support,0.4294618983194628,0.8446335785343142,0.258002885276964,0.10676384094105613,0.8370982996054849
mimic4,0,0.7,pattern_depth,0.4654572253875071,0.8331777034770722,0.29774829597382585,0.13118527042577677,0.8370982996054849
mimic4,0,0.7,random,0.4382428565112832,0.8364419728817652,0.26418893150475864,0.10944891957550186,0.8370982996054849
mimic4,0,0.9,tree_confidence,0.3442412927949619,0.8127266512762674,0.2223285261636187,0.07926404773744405,0.8370982996054849
mimic4,0,0.9,lattice_support,0.44440781851334493,0.8432816348640988,0.2637216386824897,0.11098955743411239,0.8370982996054849
mimic4,0,0.9,pattern_depth,0.445317632569569,0.837914839237693,0.2726500511036692,0.11516658378915962,0.8370982996054849
mimic4,0,0.9,random,0.43607391721625666,0.8369318956486538,0.2664827886555014,0.11079065141720537,0.8370982996054849
mimic4,1,0.5,tree_confidence,0.10188909974389047,0.7555569408218359,0.11249574755153019,0.026673827425707126,0.8200401065796734
mimic4,1,0.5,lattice_support,0.4279904094746407,0.8366602365333843,0.2390590584878565,0.09434300035803796,0.8200401065796734
mimic4,1,0.5,pattern_depth,0.4791813320448926,0.8056183358419252,0.3408242199130032,0.1523451485857501,0.8200401065796734
mimic4,1,0.5,random,0.44624916042858764,0.8249652182199352,0.27499972755661745,0.11385606874328678,0.8200401065796734
mimic4,1,0.7,tree_confidence,0.16243335814823612,0.7507421787910189,0.16607759043823556,0.046285641222350085,0.8200401065796734
mimic4,1,0.7,lattice_support,0.4483934996934547,0.8317016478390826,0.25823822714718453,0.10561309295486511,0.8200401065796734
mimic4,1,0.7,pattern_depth,0.452524409259239,0.813390431375797,0.30685669578922076,0.1308016877637131,0.8200401065796734
mimic4,1,0.7,random,0.435762986802602,0.8220270311690867,0.2784865637281468,0.11443549418232962,0.8200401065796734
mimic4,1,0.9,tree_confidence,0.29886065040986687,0.7828391193594151,0.23049559092236205,0.07876678269517653,0.8200401065796734
mimic4,1,0.9,lattice_support,0.42860783802281244,0.8237123284208397,0.27085823558548017,0.10989557434112382,0.8200401065796734
mimic4,1,0.9,pattern_depth,0.42939697920691255,0.8179226507977491,0.2792746529063117,0.11377424167081054,0.8200401065796734
mimic4,1,0.9,random,0.4218245430157572,0.8173694563314925,0.27359632678229295,0.10979612133267032,0.8200401065796734
mimic4,2,0.5,tree_confidence,0.08013541429625265,0.7399602413715318,0.10157308551383151,0.02327246688148944,0.8256199730696947
mimic4,2,0.5,lattice_support,0.45412404845206705,0.8455703821141792,0.23814900936071715,0.0966702470461869,0.8256199730696947
mimic4,2,0.5,pattern_depth,0.4930122165132449,0.8238814967178104,0.3328166391696099,0.1539563193698532,0.8256199730696947
mimic4,2,0.5,random,0.40231798427278104,0.8181051943919222,0.2696903362089072,0.10651629072681704,0.8256199730696947
mimic4,2,0.7,tree_confidence,0.16753100108425914,0.7610789929011001,0.16078512026578132,0.044623449686740826,0.8256199730696947
mimic4,2,0.7,lattice_support,0.4287837253800246,0.8308930362002989,0.26435417609323975,0.10740314537782893,0.8256199730696947
mimic4,2,0.7,pattern_depth,0.45638706798456485,0.8252552011210992,0.3029284517611028,0.13131313131313133,0.8256199730696947
mimic4,2,0.7,random,0.4139906907014727,0.8179295911833347,0.27782361771112396,0.11162255466052934,0.8256199730696947
mimic4,2,0.9,tree_confidence,0.3124458600062756,0.7961886171570172,0.2296546301278577,0.07966185977125809,0.8256199730696947
mimic4,2,0.9,lattice_support,0.4323397951755132,0.8311847794464341,0.2698401116376825,0.11089010442565887,0.8256199730696947
mimic4,2,0.9,pattern_depth,0.43128191910762176,0.8265289984961376,0.2777915721231592,0.11456986573843858,0.8256199730696947
mimic4,2,0.9,random,0.4169779626604796,0.8230197454869241,0.2718866947324956,0.1094977623073098,0.8256199730696947
