dataset,variable,obs_frac,stat,windows,window_size,pre_mean,pre_sd,post_first,delay_windows,max_abs_z
mimic4,41,1.0,lattice_unfitted,26,500,0.18415384615384617,0.014410713649041835,1.0,0,56.61386199984616
mimic4,41,1.0,pred_mean_shift,26,500,0.10308600629605855,0.008684144432404407,0.11257951268524377,-1,2.1898167334198084
mimic4,41,1.0,pred_ks,26,500,0.07076923076923078,0.03225416911741926,0.03600000000000003,-1,1.2639987910032018
mimic4,40,1.0,lattice_unfitted,26,500,0.18415384615384617,0.014410713649041835,1.0,0,56.61386199984616
mimic4,40,1.0,pred_mean_shift,26,500,0.10308600629605855,0.008684144432404407,0.10819770380001224,-1,2.4320666437833625
mimic4,40,1.0,pred_ks,26,500,0.07076923076923078,0.03225416911741926,0.062000000000000006,-1,0.6582333326733645
mimic4,7,0.9848341703545324,lattice_unfitted,26,500,0.18415384615384617,0.014410713649041835,0.984,0,56.33629073603397
mimic4,7,0.9848341703545324,pred_mean_shift,26,500,0.10308600629605855,0.008684144432404407,0.11702497042304369,-1,2.8998116234338918
mimic4,7,0.9848341703545324,pred_ks,26,500,0.07076923076923078,0.03225416911741926,0.03599999999999999,-1,1.0779763274215994
mimic4,8,0.9847347222912833,lattice_unfitted,26,500,0.18415384615384617,0.014410713649041835,0.984,0,56.33629073603397
mimic4,8,0.9847347222912833,pred_mean_shift,26,500,0.10308600629605855,0.008684144432404407,0.11724575855527443,-1,2.637020388478143
mimic4,8,0.9847347222912833,pred_ks,26,500,0.07076923076923078,0.03225416911741926,0.05200000000000002,-1,1.0159688395610638
