dataset,fold,extra_missing,arm,auprc,logloss
mimic4,0,0.0,mean_indicator,0.39239567325275665,0.27998296924261323
mimic4,0,0.0,histgb_native,0.4342647084607976,0.265184832270725
mimic4,0,0.0,family_cv,0.38368745668081383,0.2905101697082045
mimic4,0,0.1,mean_indicator,0.36537735301953916,0.2877960166408696
mimic4,0,0.1,histgb_native,0.4089102272121898,0.2727031957216048
mimic4,0,0.1,family_cv,0.27533134369340306,0.3191613745117149
mimic4,0,0.3,mean_indicator,0.3154487798163201,0.30256375004713
mimic4,0,0.3,histgb_native,0.38105579389171235,0.2818603471011587
mimic4,0,0.3,family_cv,0.15493191756928681,0.33919829873462576
mimic4,1,0.0,mean_indicator,0.36447156539237335,0.28515468753069695
mimic4,1,0.0,histgb_native,0.4207723557839989,0.2729003766996758
mimic4,1,0.0,family_cv,0.3443379934465946,0.29666687833642663
mimic4,1,0.1,mean_indicator,0.2409317639464712,0.36177526805676435
mimic4,1,0.1,histgb_native,0.3930783702102881,0.28022465930438817
mimic4,1,0.1,family_cv,0.2625353030609887,0.3201046036524743
mimic4,1,0.3,mean_indicator,0.16829156175879853,0.49341544679658184
mimic4,1,0.3,histgb_native,0.3321977265796571,0.29800486860436753
mimic4,1,0.3,family_cv,0.1581421331263979,0.3391304255421898
mimic4,2,0.0,mean_indicator,0.39844819898862127,0.28170720926758247
mimic4,2,0.0,histgb_native,0.4186835570222182,0.27167394540706913
mimic4,2,0.0,family_cv,0.3736602211073607,0.292190753333137
mimic4,2,0.1,mean_indicator,0.2748712804200872,0.3322032104655234
mimic4,2,0.1,histgb_native,0.3965050075017231,0.2782180637573407
mimic4,2,0.1,family_cv,0.28780661053472106,0.3171312162373266
mimic4,2,0.3,mean_indicator,0.21810948198068172,0.4063281526276297
mimic4,2,0.3,histgb_native,0.33581433015627055,0.2968109005400844
mimic4,2,0.3,family_cv,0.17820290294412172,0.3369900363986231
