dataset,fold,extra_missing,arm,auprc,logloss
sweep_42739,0,0.0,mean_indicator,0.6177401319402984,0.5383064715419748
sweep_42739,0,0.0,histgb_native,0.8235268880129794,0.3951879555477749
sweep_42739,0,0.0,family_cv,0.6229646463013511,0.5560837565913718
sweep_42739,0,0.1,mean_indicator,0.4171783195086359,1.124938733743667
sweep_42739,0,0.1,histgb_native,0.6966535366478039,0.4818314745158137
sweep_42739,0,0.1,family_cv,0.35241836373343144,0.6579182667964368
sweep_42739,0,0.3,mean_indicator,0.37844840120220335,1.8404954716160964
sweep_42739,0,0.3,histgb_native,0.5476004778557275,0.6398645807496764
sweep_42739,0,0.3,family_cv,0.34283357083927096,0.6428589112395512
sweep_42739,1,0.0,mean_indicator,0.6254062515473758,0.5330529581706102
sweep_42739,1,0.0,histgb_native,0.8293109592867363,0.39280163200788415
sweep_42739,1,0.0,family_cv,0.6325380515276356,0.5574785104567268
sweep_42739,1,0.1,mean_indicator,0.41728942060685775,1.1247296764999528
sweep_42739,1,0.1,histgb_native,0.6769785049383796,0.49776531541463015
sweep_42739,1,0.1,family_cv,0.35387086079413094,0.6486256759788139
sweep_42739,1,0.3,mean_indicator,0.3818626296839262,1.8779213042262037
sweep_42739,1,0.3,histgb_native,0.5290443543195165,0.6505051720626128
sweep_42739,1,0.3,family_cv,0.3428592859285929,0.643069646321085
sweep_42739,2,0.0,mean_indicator,0.6163296433237588,0.5398970797596276
sweep_42739,2,0.0,histgb_native,0.8207441902847151,0.39577317798061157
sweep_42739,2,0.0,family_cv,0.6151432318835679,0.570455526560265
sweep_42739,2,0.1,mean_indicator,0.3870420305177273,1.9578492622705932
sweep_42739,2,0.1,histgb_native,0.6842524087733329,0.4896832135497626
sweep_42739,2,0.1,family_cv,0.348566573071364,0.6625150158763812
sweep_42739,2,0.3,mean_indicator,0.3649211732076452,3.342264040109475
sweep_42739,2,0.3,histgb_native,0.5280903424042612,0.6620653873572092
sweep_42739,2,0.3,family_cv,0.34283357083927096,0.642897103137778
