dataset,n,rep,arm,auprc,n_test
cand_acs_income,500,0,mean_indicator,0.6702495320557095,12000
cand_acs_income,500,0,histgb_native,0.7016129347854342,12000
cand_acs_income,500,0,family_cv,0.6500204794517561,12000
cand_acs_income,500,1,mean_indicator,0.7044474970461084,12000
cand_acs_income,500,1,histgb_native,0.6786543149648535,12000
cand_acs_income,500,1,family_cv,0.684352018532144,12000
cand_acs_income,500,2,mean_indicator,0.6952210473402259,12000
cand_acs_income,500,2,histgb_native,0.6844272645918117,12000
cand_acs_income,500,2,family_cv,0.6997862100256131,12000
cand_acs_income,1000,0,mean_indicator,0.7226139825273097,12000
cand_acs_income,1000,0,histgb_native,0.7213120528139582,12000
cand_acs_income,1000,0,family_cv,0.7140771486637805,12000
cand_acs_income,1000,1,mean_indicator,0.7113092788553653,12000
cand_acs_income,1000,1,histgb_native,0.7114075189645191,12000
cand_acs_income,1000,1,family_cv,0.6965059725416171,12000
cand_acs_income,1000,2,mean_indicator,0.710584261479177,12000
cand_acs_income,1000,2,histgb_native,0.7108676284966695,12000
cand_acs_income,1000,2,family_cv,0.6997048386643467,12000
cand_acs_income,2000,0,mean_indicator,0.7302106277195214,12000
cand_acs_income,2000,0,histgb_native,0.7317541534511185,12000
cand_acs_income,2000,0,family_cv,0.717882821445283,12000
cand_acs_income,2000,1,mean_indicator,0.7185412357557569,12000
cand_acs_income,2000,1,histgb_native,0.7324474899259887,12000
cand_acs_income,2000,1,family_cv,0.7156208762006417,12000
cand_acs_income,2000,2,mean_indicator,0.7251548667833633,12000
cand_acs_income,2000,2,histgb_native,0.7352795675911484,12000
cand_acs_income,2000,2,family_cv,0.7193880228764766,12000
cand_acs_income,5000,0,mean_indicator,0.7401340828992775,12000
cand_acs_income,5000,0,histgb_native,0.7737506587323361,12000
cand_acs_income,5000,0,family_cv,0.7179365327968975,12000
cand_acs_income,5000,1,mean_indicator,0.7307686595097854,12000
cand_acs_income,5000,1,histgb_native,0.7613359727145466,12000
cand_acs_income,5000,1,family_cv,0.7235706043832394,12000
cand_acs_income,5000,2,mean_indicator,0.7372030862183435,12000
cand_acs_income,5000,2,histgb_native,0.7636276750056351,12000
cand_acs_income,5000,2,family_cv,0.726945456758219,12000
cand_acs_income,20000,0,mean_indicator,0.7420405380244092,12000
cand_acs_income,20000,0,histgb_native,0.7932868811128635,12000
cand_acs_income,20000,0,family_cv,0.730528191318389,12000
cand_acs_income,20000,1,mean_indicator,0.7424424937716402,12000
cand_acs_income,20000,1,histgb_native,0.7916046272252196,12000
cand_acs_income,20000,1,family_cv,0.7326533727733698,12000
cand_acs_income,20000,2,mean_indicator,0.7428123732050329,12000
cand_acs_income,20000,2,histgb_native,0.7900343644250479,12000
cand_acs_income,20000,2,family_cv,0.7320829324400596,12000
