dataset,n,rep,arm,auprc,n_test
cand_airbnb,500,0,mean_indicator,0.860779074027724,12000
cand_airbnb,500,0,histgb_native,0.8686440888079485,12000
cand_airbnb,500,0,family_cv,0.8645349945885263,12000
cand_airbnb,500,1,mean_indicator,0.8580228898974687,12000
cand_airbnb,500,1,histgb_native,0.8777002935646886,12000
cand_airbnb,500,1,family_cv,0.872034538489377,12000
cand_airbnb,500,2,mean_indicator,0.8611433608017616,12000
cand_airbnb,500,2,histgb_native,0.8786968052995442,12000
cand_airbnb,500,2,family_cv,0.8675849961116443,12000
cand_airbnb,1000,0,mean_indicator,0.87749926113007,12000
cand_airbnb,1000,0,histgb_native,0.9026086754437151,12000
cand_airbnb,1000,0,family_cv,0.8776311059875246,12000
cand_airbnb,1000,1,mean_indicator,0.8758368884266516,12000
cand_airbnb,1000,1,histgb_native,0.8875550300824746,12000
cand_airbnb,1000,1,family_cv,0.8797544774120646,12000
cand_airbnb,1000,2,mean_indicator,0.8714833539208028,12000
cand_airbnb,1000,2,histgb_native,0.900679346282732,12000
cand_airbnb,1000,2,family_cv,0.8753909136649326,12000
cand_airbnb,2000,0,mean_indicator,0.8790299142339391,12000
cand_airbnb,2000,0,histgb_native,0.9094199198864006,12000
cand_airbnb,2000,0,family_cv,0.8791829331818831,12000
cand_airbnb,2000,1,mean_indicator,0.8824120378770031,12000
cand_airbnb,2000,1,histgb_native,0.909068786832596,12000
cand_airbnb,2000,1,family_cv,0.8798586066921709,12000
cand_airbnb,2000,2,mean_indicator,0.8813829991935229,12000
cand_airbnb,2000,2,histgb_native,0.9079888370749257,12000
cand_airbnb,2000,2,family_cv,0.8818130005091713,12000
cand_airbnb,5000,0,mean_indicator,0.8831019436005758,12000
cand_airbnb,5000,0,histgb_native,0.9222166917441723,12000
cand_airbnb,5000,0,family_cv,0.8806033703180061,12000
cand_airbnb,5000,1,mean_indicator,0.884522036647465,12000
cand_airbnb,5000,1,histgb_native,0.9256597144613404,12000
cand_airbnb,5000,1,family_cv,0.8812140823600475,12000
cand_airbnb,5000,2,mean_indicator,0.8844821056412054,12000
cand_airbnb,5000,2,histgb_native,0.9240392135138366,12000
cand_airbnb,5000,2,family_cv,0.8821725089053007,12000
cand_airbnb,20000,0,mean_indicator,0.8852547391894066,12000
cand_airbnb,20000,0,histgb_native,0.9382173168061959,12000
cand_airbnb,20000,0,family_cv,0.8876616354096687,12000
cand_airbnb,20000,1,mean_indicator,0.8852665696338795,12000
cand_airbnb,20000,1,histgb_native,0.9368391270027834,12000
cand_airbnb,20000,1,family_cv,0.8874587853419519,12000
cand_airbnb,20000,2,mean_indicator,0.8848621633919209,12000
cand_airbnb,20000,2,histgb_native,0.9372968176868824,12000
cand_airbnb,20000,2,family_cv,0.8873777856393886,12000
