dataset,n,rep,arm,auprc,n_test
cand_mimic4_regime,500,0,mean_indicator,0.3824500043583529,10038
cand_mimic4_regime,500,0,histgb_native,0.3197659920462598,10038
cand_mimic4_regime,500,0,family_cv,0.33041092693580243,10038
cand_mimic4_regime,500,1,mean_indicator,0.357605319322415,10038
cand_mimic4_regime,500,1,histgb_native,0.3635944689823573,10038
cand_mimic4_regime,500,1,family_cv,0.35713092654361955,10038
cand_mimic4_regime,500,2,mean_indicator,0.3558847835241835,10038
cand_mimic4_regime,500,2,histgb_native,0.3358635661163447,10038
cand_mimic4_regime,500,2,family_cv,0.34098432960067854,10038
cand_mimic4_regime,1000,0,mean_indicator,0.3754065997558593,10038
cand_mimic4_regime,1000,0,histgb_native,0.38422107326532073,10038
cand_mimic4_regime,1000,0,family_cv,0.3541577155517841,10038
cand_mimic4_regime,1000,1,mean_indicator,0.39959376293065385,10038
cand_mimic4_regime,1000,1,histgb_native,0.3998599662617522,10038
cand_mimic4_regime,1000,1,family_cv,0.34957178230453634,10038
cand_mimic4_regime,1000,2,mean_indicator,0.3982231460762878,10038
cand_mimic4_regime,1000,2,histgb_native,0.40128596922665866,10038
cand_mimic4_regime,1000,2,family_cv,0.37501469087036526,10038
cand_mimic4_regime,2000,0,mean_indicator,0.368853562488009,10038
cand_mimic4_regime,2000,0,histgb_native,0.4062409523875636,10038
cand_mimic4_regime,2000,0,family_cv,0.3844008795273019,10038
cand_mimic4_regime,2000,1,mean_indicator,0.3864554554125243,10038
cand_mimic4_regime,2000,1,histgb_native,0.413747886369248,10038
cand_mimic4_regime,2000,1,family_cv,0.38235372608660095,10038
cand_mimic4_regime,2000,2,mean_indicator,0.4029089687022281,10038
cand_mimic4_regime,2000,2,histgb_native,0.4070001224230127,10038
cand_mimic4_regime,2000,2,family_cv,0.39291394049691425,10038
cand_mimic4_regime,5000,0,mean_indicator,0.43431959665815023,10038
cand_mimic4_regime,5000,0,histgb_native,0.4453823197245124,10038
cand_mimic4_regime,5000,0,family_cv,0.41063267035277573,10038
cand_mimic4_regime,5000,1,mean_indicator,0.4227667200514274,10038
cand_mimic4_regime,5000,1,histgb_native,0.4213787388750491,10038
cand_mimic4_regime,5000,1,family_cv,0.41626181277168844,10038
cand_mimic4_regime,5000,2,mean_indicator,0.4231396880813514,10038
cand_mimic4_regime,5000,2,histgb_native,0.4330129912909253,10038
cand_mimic4_regime,5000,2,family_cv,0.401620654483675,10038
cand_mimic4_regime,20000,0,mean_indicator,0.4372923650139369,10038
cand_mimic4_regime,20000,0,histgb_native,0.4820550721778097,10038
cand_mimic4_regime,20000,0,family_cv,0.4056939750334261,10038
cand_mimic4_regime,20000,1,mean_indicator,0.4416388931609436,10038
cand_mimic4_regime,20000,1,histgb_native,0.468641826406598,10038
cand_mimic4_regime,20000,1,family_cv,0.4125650316892333,10038
cand_mimic4_regime,20000,2,mean_indicator,0.43466505241425296,10038
cand_mimic4_regime,20000,2,histgb_native,0.47859437140084526,10038
cand_mimic4_regime,20000,2,family_cv,0.4059543635904553,10038
