dataset,n,rep,arm,auprc,n_test
cand_nhanes,500,0,mean_indicator,0.44486304324417325,4473
cand_nhanes,500,0,histgb_native,0.29933213816329246,4473
cand_nhanes,500,0,family_cv,0.36867809254865885,4473
cand_nhanes,500,1,mean_indicator,0.43557397297984424,4473
cand_nhanes,500,1,histgb_native,0.2865984036863893,4473
cand_nhanes,500,1,family_cv,0.37600200787714666,4473
cand_nhanes,500,2,mean_indicator,0.4014243042485953,4473
cand_nhanes,500,2,histgb_native,0.3566365433476111,4473
cand_nhanes,500,2,family_cv,0.37143646511270656,4473
cand_nhanes,1000,0,mean_indicator,0.4493970498158162,4473
cand_nhanes,1000,0,histgb_native,0.46564819299031657,4473
cand_nhanes,1000,0,family_cv,0.4379144897144359,4473
cand_nhanes,1000,1,mean_indicator,0.5266191594770582,4473
cand_nhanes,1000,1,histgb_native,0.4020011540806217,4473
cand_nhanes,1000,1,family_cv,0.4509935117172203,4473
cand_nhanes,1000,2,mean_indicator,0.43273795520541103,4473
cand_nhanes,1000,2,histgb_native,0.4391481724802068,4473
cand_nhanes,1000,2,family_cv,0.44553540986431117,4473
cand_nhanes,2000,0,mean_indicator,0.46919691095535865,4473
cand_nhanes,2000,0,histgb_native,0.5005095702436957,4473
cand_nhanes,2000,0,family_cv,0.4436063819005683,4473
cand_nhanes,2000,1,mean_indicator,0.5080608207823307,4473
cand_nhanes,2000,1,histgb_native,0.5455615373940623,4473
cand_nhanes,2000,1,family_cv,0.4370350521991234,4473
cand_nhanes,2000,2,mean_indicator,0.5161467593095499,4473
cand_nhanes,2000,2,histgb_native,0.542482221685185,4473
cand_nhanes,2000,2,family_cv,0.49157454987254895,4473
cand_nhanes,5000,0,mean_indicator,0.5718089514457065,4473
cand_nhanes,5000,0,histgb_native,0.5859318026219261,4473
cand_nhanes,5000,0,family_cv,0.5038182428109133,4473
cand_nhanes,5000,1,mean_indicator,0.5667124732795685,4473
cand_nhanes,5000,1,histgb_native,0.5573989233949921,4473
cand_nhanes,5000,1,family_cv,0.49471755129808015,4473
cand_nhanes,5000,2,mean_indicator,0.5359283101840003,4473
cand_nhanes,5000,2,histgb_native,0.569208519759087,4473
cand_nhanes,5000,2,family_cv,0.4957924867173325,4473
