dataset,n,rep,arm,auprc,n_test
mimic4,500,0,mean_indicator,0.33886951552887834,10056
mimic4,500,0,histgb_native,0.2600886613646896,10056
mimic4,500,0,family_cv,0.3180894287228779,10056
mimic4,500,1,mean_indicator,0.28594869045543636,10056
mimic4,500,1,histgb_native,0.2650946574630732,10056
mimic4,500,1,family_cv,0.32124199674362763,10056
mimic4,500,2,mean_indicator,0.3195616059550496,10056
mimic4,500,2,histgb_native,0.263019221879232,10056
mimic4,500,2,family_cv,0.283880254848764,10056
mimic4,1000,0,mean_indicator,0.3446548628279865,10056
mimic4,1000,0,histgb_native,0.3293186828808539,10056
mimic4,1000,0,family_cv,0.32823248551939355,10056
mimic4,1000,1,mean_indicator,0.35708410242190824,10056
mimic4,1000,1,histgb_native,0.36442486764309856,10056
mimic4,1000,1,family_cv,0.34716449727644383,10056
mimic4,1000,2,mean_indicator,0.3553335628935511,10056
mimic4,1000,2,histgb_native,0.3317386289864455,10056
mimic4,1000,2,family_cv,0.3302445735934062,10056
mimic4,2000,0,mean_indicator,0.3482015804702283,10056
mimic4,2000,0,histgb_native,0.350091692314116,10056
mimic4,2000,0,family_cv,0.3521192403274132,10056
mimic4,2000,1,mean_indicator,0.36857793752774937,10056
mimic4,2000,1,histgb_native,0.3738051006426793,10056
mimic4,2000,1,family_cv,0.35600624480442444,10056
mimic4,2000,2,mean_indicator,0.35562542086944277,10056
mimic4,2000,2,histgb_native,0.337094732956283,10056
mimic4,2000,2,family_cv,0.3453156480298113,10056
mimic4,5000,0,mean_indicator,0.3707520262322884,10056
mimic4,5000,0,histgb_native,0.362649957141387,10056
mimic4,5000,0,family_cv,0.3527705492071759,10056
mimic4,5000,1,mean_indicator,0.3749035057009054,10056
mimic4,5000,1,histgb_native,0.37016412582256375,10056
mimic4,5000,1,family_cv,0.3590391307256146,10056
mimic4,5000,2,mean_indicator,0.37050887794173243,10056
mimic4,5000,2,histgb_native,0.37703914030072105,10056
mimic4,5000,2,family_cv,0.35478668046070244,10056
mimic4,20000,0,mean_indicator,0.38216809143561187,10056
mimic4,20000,0,histgb_native,0.4205901895709048,10056
mimic4,20000,0,family_cv,0.3659802444124998,10056
mimic4,20000,1,mean_indicator,0.38184376244127044,10056
mimic4,20000,1,histgb_native,0.4161514072033812,10056
mimic4,20000,1,family_cv,0.36527401965192186,10056
mimic4,20000,2,mean_indicator,0.38321036795249874,10056
mimic4,20000,2,histgb_native,0.4137227190099187,10056
mimic4,20000,2,family_cv,0.3676010370831363,10056
