dataset,n,rep,arm,auprc,n_test
sweep_42739,500,0,mean_indicator,0.5438746845564483,12000
sweep_42739,500,0,histgb_native,0.6319262569885067,12000
sweep_42739,500,0,family_cv,0.5247654060944749,12000
sweep_42739,500,1,mean_indicator,0.5231225317890306,12000
sweep_42739,500,1,histgb_native,0.6118963239062253,12000
sweep_42739,500,1,family_cv,0.5268460899803011,12000
sweep_42739,500,2,mean_indicator,0.4997061826077891,12000
sweep_42739,500,2,histgb_native,0.5882351241737603,12000
sweep_42739,500,2,family_cv,0.5146015830978886,12000
sweep_42739,1000,0,mean_indicator,0.585686568457875,12000
sweep_42739,1000,0,histgb_native,0.6793555398680228,12000
sweep_42739,1000,0,family_cv,0.5540878257030427,12000
sweep_42739,1000,1,mean_indicator,0.5646947995705325,12000
sweep_42739,1000,1,histgb_native,0.6419825346494984,12000
sweep_42739,1000,1,family_cv,0.5615347025706632,12000
sweep_42739,1000,2,mean_indicator,0.5990679429365898,12000
sweep_42739,1000,2,histgb_native,0.7185949313454235,12000
sweep_42739,1000,2,family_cv,0.6015941336950009,12000
sweep_42739,2000,0,mean_indicator,0.5862289470180831,12000
sweep_42739,2000,0,histgb_native,0.751202543046767,12000
sweep_42739,2000,0,family_cv,0.5882563741392821,12000
sweep_42739,2000,1,mean_indicator,0.5921773776500326,12000
sweep_42739,2000,1,histgb_native,0.7241546597081433,12000
sweep_42739,2000,1,family_cv,0.5801447496078616,12000
sweep_42739,2000,2,mean_indicator,0.5933123577897396,12000
sweep_42739,2000,2,histgb_native,0.7085802492795091,12000
sweep_42739,2000,2,family_cv,0.5878050258486931,12000
sweep_42739,5000,0,mean_indicator,0.6042282974958083,12000
sweep_42739,5000,0,histgb_native,0.7699515086950834,12000
sweep_42739,5000,0,family_cv,0.6091945999548352,12000
sweep_42739,5000,1,mean_indicator,0.6051514580199957,12000
sweep_42739,5000,1,histgb_native,0.7874041716986846,12000
sweep_42739,5000,1,family_cv,0.5981784298606632,12000
sweep_42739,5000,2,mean_indicator,0.5984082165722957,12000
sweep_42739,5000,2,histgb_native,0.7789401210770621,12000
sweep_42739,5000,2,family_cv,0.5931903645710824,12000
sweep_42739,20000,0,mean_indicator,0.6099365366260446,12000
sweep_42739,20000,0,histgb_native,0.8221594172528582,12000
sweep_42739,20000,0,family_cv,0.6072734538288747,12000
sweep_42739,20000,1,mean_indicator,0.6152937496191193,12000
sweep_42739,20000,1,histgb_native,0.8206403851065907,12000
sweep_42739,20000,1,family_cv,0.6090296027117534,12000
sweep_42739,20000,2,mean_indicator,0.6136653098118553,12000
sweep_42739,20000,2,histgb_native,0.8244939497941175,12000
sweep_42739,20000,2,family_cv,0.6109521048787101,12000
