mechanism,het,info,concentration,n,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.106,0.714494630869641,0.7147038149879394,0.7118611389665733,0.7108972612039339,0.7085062475225263,0.7218115308307061,-0.0023910136814076165,0.7388826803635273,3,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.09725,0.8524087196380576,0.8527202696186458,0.8519613984269222,0.8532078058301478,0.8532078058301475,0.8574214110184544,-1.509903313490213e-16,1.0,2,25,1000000000.0
MCAR,0.0,0.0,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.104,0.7164185036617187,0.7313513071974015,0.7163947004712219,0.729365548823214,0.7313371304813436,0.754773709525221,0.001971581658129642,0.40081416938293446,6,25,1000000000.0
MCAR,0.0,0.0,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.09825,0.4980399360778097,0.49860733610261726,0.4977962992096351,0.4981990883144069,0.49817662558132086,0.5018758878601657,-2.2462733086126006e-05,0.31731050786291415,0,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,0.1161875,194,0.0,137.04983927341033,0.108,0.7223954318475836,0.6955417575977109,0.7229735831223959,0.6937131821344752,0.6936133162052103,0.7110122181260263,-9.986592926506166e-05,0.6547208460185769,1,25,1000000000.0
MCAR,0.0,0.0,0.1,4000,0.11921875,215,0.3815,153.76261076383608,0.1,0.5744334247224009,0.5741692766167511,0.573254947992875,0.5735936894324469,0.5773271819877318,0.5987260416050973,0.003733492555284994,0.03569190011680441,6,25,1000000000.0
MCAR,0.0,1.5,0.9,1000,0.1224375,12,0.943,2.973572115717008,0.104,0.6943783479281656,0.7001510430463534,0.6900379934942482,0.697900470076608,0.697900470076608,0.7067510852936898,1.1102230246251565e-16,1.0,13,25,1000000000.0
MCAR,0.0,1.5,0.9,4000,0.15184375,12,0.982,2.867321830264796,0.09525,0.7934866834255844,0.8527343571063686,0.7937544048365851,0.852064459415865,0.8520484361050324,0.8548702321004928,-1.6023310832653513e-05,0.03027410916432036,14,25,1000000000.0
MCAR,0.0,1.5,0.5,1000,0.1178125,57,0.702,14.345958887345661,0.102,0.6919297151858299,0.6959157632629706,0.6868045983737272,0.6887385825853326,0.6952091207153479,0.7416284352020687,0.006470538130015413,0.17629637444051116,5,25,1000000000.0
MCAR,0.0,1.5,0.5,4000,0.11584375,60,0.8565,13.95740703241044,0.10075,0.4346955413330547,0.473653757130804,0.4340835571744412,0.47317350304015643,0.4742191194620553,0.490995222105815,0.0010456164218989583,0.24886387493792206,4,25,1000000000.0
