mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.106,0.694270940452424,0.6925492985420045,0.6927984248692576,0.6905074868712144,0.6901260024790951,0.70205862544791,-0.0003814843921193134,0.6001794871405539,7,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.8531354768613771,0.8527321322800606,0.852663749253397,0.8536023873886011,0.8518654934783148,0.8570201163733455,-0.0017368939102863346,0.20823714728254206,7,25,1000.0
MCAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.104,0.7476580252149168,0.743650937432605,0.7477098675997947,0.7434828367556559,0.7395985304884095,0.7621500899545919,-0.003884306267246291,0.7943374591300819,10,25,100.0
MCAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.09825,0.5100380454169876,0.5038203155516867,0.5095492248543915,0.5029081318722796,0.4946445924546522,0.5069624373197414,-0.008263539417627414,0.004439092656792155,1,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.108,0.6828892677026611,0.6807227910034815,0.684373614826839,0.6819667965139301,0.6777150330304822,0.6979656318484954,-0.004251763483448006,0.27760541836356367,9,25,300.0
MCAR,0.0,0.0,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.1,0.5986092087648922,0.5984708709418423,0.5985317918747041,0.5980749115455053,0.6132219395733858,0.6187429872863224,0.01514702802788038,0.0006067668456360628,18,25,300.0
MCAR,0.0,1.5,0.9,1000,pattern,,Linux-x86_64,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.104,0.6691175772784717,0.6787821036679584,0.6680926357697059,0.6744025775215146,0.675190939121874,0.6877576689449476,0.0007883616003595106,0.947908646535539,9,25,1000.0
MCAR,0.0,1.5,0.9,4000,pattern,,Linux-x86_64,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09525,0.7924515759562345,0.8565867312739508,0.7930671368107405,0.8560794788580713,0.8556172058482265,0.8582206050381211,-0.00046227300984472917,0.7807393989831063,12,25,1000.0
MCAR,0.0,1.5,0.5,1000,pattern,,Linux-x86_64,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.105,0.7065751089256379,0.7577354179533643,0.7045336416856691,0.7598137176053362,0.7575750960907689,0.7703190201301153,-0.0022386215145675115,0.29542405582364173,7,25,1000.0
MCAR,0.0,1.5,0.5,4000,pattern,,Linux-x86_64,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.101,0.45503009678665896,0.4941814978143722,0.45610394972667573,0.4931125234386768,0.49658512355378615,0.5050967378586,0.0034726001151092834,0.33041490332462453,13,25,1000.0
MCAR,0.0,1.5,0.1,1000,pattern,,Linux-x86_64,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.104,0.6422555819378362,0.649369710149475,0.6422632194389692,0.647551766786847,0.6479603888059724,0.6702410255039392,0.0004086220191253109,0.3700944683002695,15,25,1000.0
MCAR,0.0,1.5,0.1,4000,pattern,,Linux-x86_64,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.0955,0.5234839372658898,0.5213931300827193,0.523281869350992,0.5211369374485506,0.5378821157304949,0.5433289662403744,0.016745178281944342,0.0007149577140808105,17,25,300.0
MCAR,0.5,0.0,0.9,1000,pattern,,Linux-x86_64,0.44199037024705773,0.1224375,12,0.943,2.973572115717008,0.108,0.7561654479397949,0.7989790201641104,0.7545442201197012,0.796682018388537,0.7966699513944877,0.799235995439945,-1.2066994049293455e-05,0.252737478544408,3,25,1000000000.0
MCAR,0.5,0.0,0.9,4000,pattern,,Linux-x86_64,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.828222789600687,0.8291065323823248,0.8281367668695822,0.8295843177000113,0.8390393678970224,0.8419814044414218,0.009455050197011029,0.0007149577140808105,20,25,300.0
MCAR,0.5,0.0,0.5,1000,pattern,,Linux-x86_64,0.48231983865115335,0.1178125,57,0.702,14.345958887345661,0.104,0.5975571827347903,0.5499590792883119,0.5949215270983348,0.5522447797464922,0.5680883604028828,0.5942509364977258,0.01584358065639066,0.03085282490002291,16,25,300.0
MCAR,0.5,0.0,0.5,4000,pattern,,Linux-x86_64,0.49149355195770855,0.11584375,60,0.8565,13.95740703241044,0.097,0.5587100783662513,0.6359339735131327,0.5604951311180136,0.6401731145538473,0.6298477634571197,0.6423619268969124,-0.010325351096727761,0.006210256590449749,4,25,1000.0
MCAR,0.5,0.0,0.1,1000,pattern,,Linux-x86_64,0.4990821606464876,0.1161875,197,0.0,150.21272667168074,0.098,0.5744899529637908,0.5717722372008199,0.5700162167090607,0.5627531642218077,0.5517576937700035,0.5839599064291311,-0.010995470451804164,0.0987409489608765,8,25,300.0
MCAR,0.5,0.0,0.1,4000,pattern,,Linux-x86_64,0.5027305996624527,0.11921875,215,0.3665,161.16511830275894,0.102,0.4780000890162435,0.48484802048161524,0.4780067987969695,0.48495159862518933,0.5068356666431691,0.5115589476662039,0.021884068017979735,5.3882598876953125e-05,23,25,300.0
MCAR,0.5,1.5,0.9,1000,pattern,,Linux-x86_64,0.44199037024705773,0.1224375,12,0.943,2.973572115717008,0.114,0.7094776843300226,0.7072897166146004,0.7116437406480685,0.7108972232865541,0.7123978428714166,0.724012385097338,0.0015006195848625392,0.6729404357300602,3,25,1000000000.0
MCAR,0.5,1.5,0.9,4000,pattern,,Linux-x86_64,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.097,0.7974980680793707,0.853877223592125,0.7977937849819952,0.8536984160250622,0.8576733898678478,0.8619610085183467,0.003974973842785552,0.008822321891784668,18,25,300.0
MCAR,0.5,1.5,0.5,1000,pattern,,Linux-x86_64,0.48231983865115335,0.1178125,57,0.702,14.345958887345661,0.109,0.5977269653400089,0.5839416960980601,0.5924470753798688,0.582122278172788,0.5894754019906571,0.6208286128175515,0.007353123817868936,0.18081236677854295,16,25,300.0
MCAR,0.5,1.5,0.5,4000,pattern,,Linux-x86_64,0.49149355195770855,0.11584375,60,0.8565,13.95740703241044,0.10125,0.4938817355558842,0.6246831222908303,0.4958681839067605,0.6263793358684006,0.619283677478996,0.6311693564339006,-0.007095658389404491,0.043114446783075355,0,25,1000000000.0
MCAR,0.5,1.5,0.1,1000,pattern,,Linux-x86_64,0.4990821606464876,0.1161875,197,0.0,150.21272667168074,0.101,0.5754186448512951,0.5472958757251312,0.5709765965460802,0.5473038175475757,0.5416597009673468,0.5600018902089983,-0.005644116580228884,0.9095609385561121,8,25,1000.0
MCAR,0.5,1.5,0.1,4000,pattern,,Linux-x86_64,0.5027305996624527,0.11921875,215,0.3665,161.16511830275894,0.09925,0.45253238675357765,0.461164257585298,0.45244659335002096,0.4613288710681009,0.4822808378367909,0.49125149083499153,0.02095196676868995,0.0012963414192199707,21,25,300.0
MCAR,1.5,0.0,0.9,1000,pattern,,Linux-x86_64,1.3259711107411731,0.1224375,12,0.943,2.973572115717008,0.105,0.760777508813563,0.8804273787738882,0.7576076815983533,0.8806181309932823,0.8795765070857259,0.8848904742908938,-0.0010416239075565282,0.9431691277323474,12,25,1000000000.0
MCAR,1.5,0.0,0.9,4000,pattern,,Linux-x86_64,1.3110523515561932,0.15184375,12,0.982,2.867321830264796,0.09575,0.6918542951527935,0.6882608013113622,0.6914675048869475,0.6868849672173759,0.8003213492041378,0.8021726713181293,0.11343638198676179,5.960464477539063e-08,25,25,30.0
MCAR,1.5,0.0,0.5,1000,pattern,,Linux-x86_64,1.44695951595346,0.1178125,57,0.702,14.345958887345661,0.103,0.4200014184049715,0.37610222272364413,0.4208836757839676,0.3831524550112938,0.4596684855005207,0.4824848343372836,0.07651603048922694,0.0002498030662536621,21,25,30.0
MCAR,1.5,0.0,0.5,4000,pattern,,Linux-x86_64,1.4744806558731254,0.11584375,60,0.8565,13.95740703241044,0.101,0.49735258191974974,0.6340314999495962,0.5014762660175375,0.6419697433657536,0.6303338780204458,0.6492415878211909,-0.011635865345307868,0.00961307994613869,5,25,1000.0
MCAR,1.5,0.0,0.1,1000,pattern,,Linux-x86_64,1.4972464819394624,0.1161875,197,0.0,150.21272667168074,0.098,0.4122822300050749,0.3968791887085167,0.414462311928745,0.404943471532745,0.397496204693149,0.43944415997573677,-0.0074472668395959484,0.429067256009819,10,25,100.0
MCAR,1.5,0.0,0.1,4000,pattern,,Linux-x86_64,1.5081917989873581,0.11921875,215,0.3665,161.16511830275894,0.10325,0.2902984646485034,0.2900995935863618,0.2892076188273955,0.29007253051498927,0.3235636389014899,0.329522205186276,0.03349110838650072,1.0073184967041016e-05,22,25,300.0
MCAR,1.5,1.5,0.9,1000,pattern,,Linux-x86_64,1.3259711107411731,0.1224375,12,0.943,2.973572115717008,0.103,0.754820312604862,0.8501032778763258,0.7551615537330867,0.8441133393375888,0.8439632050218014,0.8475561813267463,-0.0001501343157874979,0.688613969687663,9,25,1000000000.0
MCAR,1.5,1.5,0.9,4000,pattern,,Linux-x86_64,1.3110523515561932,0.15184375,12,0.982,2.867321830264796,0.09725,0.7441023479536453,0.7877967412152911,0.7438098889297641,0.7865871395600808,0.8481216787147156,0.848979094871024,0.06153453915463486,5.960464477539063e-08,25,25,30.0
MCAR,1.5,1.5,0.5,1000,pattern,,Linux-x86_64,1.44695951595346,0.1178125,57,0.702,14.345958887345661,0.1,0.45821035850248293,0.4363057218347722,0.45892170837310386,0.4377844672318383,0.4792542788762908,0.5093448536151824,0.04146981164445247,0.0004894733428955078,20,25,100.0
MCAR,1.5,1.5,0.5,4000,pattern,,Linux-x86_64,1.4744806558731254,0.11584375,60,0.8565,13.95740703241044,0.1005,0.48019504254854206,0.6331936909886619,0.4834833675866804,0.642532789633118,0.6306676800817912,0.651425855363639,-0.011865109551326976,0.008685211199123489,4,25,1000.0
MCAR,1.5,1.5,0.1,1000,pattern,,Linux-x86_64,1.4972464819394624,0.1161875,197,0.0,150.21272667168074,0.102,0.3952335502751726,0.36962221249339583,0.3890219273519684,0.3705625543141473,0.3786825950395324,0.4048119062603645,0.008120040725385105,0.6482286941369625,12,25,300.0
MCAR,1.5,1.5,0.1,4000,pattern,,Linux-x86_64,1.5081917989873581,0.11921875,215,0.3665,161.16511830275894,0.1,0.27742773991651837,0.2749513317527766,0.2769618507553807,0.2744033880153047,0.3039944264951646,0.31289452430537695,0.02959103847985995,8.803606033325195e-05,20,25,300.0
