mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MNAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.2750217548429532e-16,0.1224375,12,0.943,2.973572115717008,0.088,0.5472484173574081,0.5444303397261204,0.5454329863447522,0.5428208116423298,0.541307287292508,0.5588190211084624,-0.0015135243498218154,0.9272980307084063,12,25,300.0
MNAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,9.063930161978817e-17,0.15184375,12,0.982,2.867321830264796,0.09775,0.6995840500712984,0.7030324142349693,0.6984778727496486,0.7006197888983289,0.7018204242478261,0.7057773975480565,0.0012006353494971522,0.23424278076207183,9,25,1000.0
MNAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,6.583275591331983e-16,0.1178125,57,0.702,14.345958887345661,0.098,0.6023606619787778,0.5955388184751375,0.6025257537120555,0.5965463963812145,0.5903307830176848,0.6431730581472973,-0.006215613363529773,0.26272224684071965,14,25,300.0
MNAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,5.412337245047638e-16,0.11584375,60,0.8565,13.95740703241044,0.10375,0.6436812166656058,0.6666701948285803,0.643688884940489,0.6660484943771812,0.6647518393688017,0.6733563936801856,-0.001296655008379317,0.9757206779782549,13,25,1000.0
MNAR,0.0,0.0,0.1,1000,pattern,,Linux-x86_64,2.867497905789662e-15,0.1161875,197,0.0,150.21272667168074,0.09,0.557585322671987,0.5289207038958886,0.5523241486148958,0.5303822652628116,0.5259021394852319,0.5701985053628252,-0.0044801257775797,0.8531995415687561,13,25,100.0
MNAR,0.0,0.0,0.1,4000,pattern,,Linux-x86_64,3.4416913763379853e-15,0.11921875,215,0.3665,161.16511830275894,0.10175,0.642197117007151,0.6498441271845732,0.6417368528670009,0.6494330696907415,0.6926061459137971,0.697200587404952,0.043173076223055454,5.960464477539063e-08,25,25,100.0
MNAR,0.0,1.5,0.9,1000,pattern,,Linux-x86_64,1.2750217548429532e-16,0.1224375,12,0.943,2.973572115717008,0.089,0.549162508323488,0.5573540331366581,0.5440736283632128,0.5535114923265033,0.5526418359671958,0.5694342806360617,-0.0008696563593074558,0.9584168126150571,11,25,300.0
MNAR,0.0,1.5,0.9,4000,pattern,,Linux-x86_64,9.063930161978817e-17,0.15184375,12,0.982,2.867321830264796,0.1005,0.6639128427358273,0.6919847532362212,0.6637698973270151,0.6906647665812957,0.6905361646205611,0.698709924615794,-0.00012860196073448017,0.43418687955840585,11,25,1000.0
MNAR,0.0,1.5,0.5,1000,pattern,,Linux-x86_64,6.583275591331983e-16,0.1178125,57,0.702,14.345958887345661,0.098,0.6098240609072273,0.6330125963959299,0.6085763489370904,0.6253213508205739,0.6247142138588498,0.6598743839521769,-0.0006071369617240863,0.910824985273362,11,25,300.0
MNAR,0.0,1.5,0.5,4000,pattern,,Linux-x86_64,5.412337245047638e-16,0.11584375,60,0.8565,13.95740703241044,0.10225,0.5751737663799326,0.6104366365618326,0.5757737699778722,0.6104010175241936,0.6184450719511755,0.6296537551503408,0.008044054426981848,0.0067255496978759766,17,25,1000.0
MNAR,0.0,1.5,0.1,1000,pattern,,Linux-x86_64,2.867497905789662e-15,0.1161875,197,0.0,150.21272667168074,0.091,0.49493908867112396,0.47218923610237745,0.49472082905046827,0.4702656497934804,0.4560406358332116,0.4924215065182213,-0.0142250139602688,0.19783306556714142,8,25,300.0
MNAR,0.0,1.5,0.1,4000,pattern,,Linux-x86_64,3.4416913763379853e-15,0.11921875,215,0.3665,161.16511830275894,0.10025,0.5914312095728657,0.6150965513941755,0.5905288813528383,0.614955449459877,0.6387655651299093,0.6456269721410395,0.023810115670032377,0.00021690130233764648,20,25,300.0
MNAR,0.5,0.0,0.9,1000,pattern,,Linux-x86_64,0.4529503937744953,0.1224375,12,0.943,2.973572115717008,0.101,0.706627118615251,0.707555358188915,0.7021248982370785,0.7067794755833513,0.7035700455511605,0.724235836502846,-0.0032094300321908074,0.7368753708069717,10,25,1000.0
MNAR,0.5,0.0,0.9,4000,pattern,,Linux-x86_64,0.5007659873459318,0.15184375,12,0.982,2.867321830264796,0.097,0.644740480370382,0.6589677006868206,0.6446558339848785,0.657557596832723,0.6891212961833639,0.695915938432518,0.031563699350640975,8.344650268554688e-07,22,25,100.0
