algo,cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_n_estimators,cfg_min_child_weight,cfg_min_child_samples
xgboost,colorectal,0,0,0.10290632014625756,0.16181884185917977,0.13375483146960224,3,0.03,200,20.0,
xgboost,colorectal,0,1,0.09403155513169992,0.12565919359829614,0.13910562349994193,6,0.03,200,20.0,
xgboost,colorectal,0,2,0.10218621744386071,0.1477985034811538,0.14123898809792038,3,0.03,500,20.0,
xgboost,colorectal,0,3,0.08581597559447979,0.13590276373036672,0.14197217722435307,3,0.03,500,20.0,
xgboost,colorectal,0,4,0.10405745986036671,0.15112088787806574,0.13684764300034383,6,0.03,200,20.0,
xgboost,colorectal,1,0,0.11069666194068253,0.16181000938343632,0.1384120711140774,3,0.03,200,20.0,
xgboost,colorectal,1,1,0.10786159429514423,0.1448005977988969,0.13519176704830185,3,0.1,200,20.0,
xgboost,colorectal,1,2,0.10409281477158105,0.14051157953747165,0.1370947880617925,3,0.03,500,20.0,
xgboost,colorectal,1,3,0.10287293415281143,0.12313361953335847,0.1384655199136486,6,0.03,200,20.0,
xgboost,colorectal,1,4,0.09623011973017344,0.15867319551204034,0.12916868796415548,3,0.03,200,20.0,
xgboost,colorectal,2,0,0.11147324860906638,0.14686840686233327,0.13843414318495348,3,0.1,200,20.0,
xgboost,colorectal,2,1,0.10083531870503086,0.15024749226648446,0.134689115225008,3,0.03,500,20.0,
xgboost,colorectal,2,2,0.12211029333284845,0.15775397705729116,0.13961435213390852,3,0.03,500,20.0,
xgboost,colorectal,2,3,0.10450469935202507,0.12433932352114924,0.1494962827470292,3,0.03,500,20.0,
xgboost,colorectal,2,4,0.11417204158720792,0.12723069274427856,0.14032952543832078,3,0.03,200,1.0,
lightgbm,colorectal,0,0,0.12667357789918143,0.15878440716114842,0.1304651200118185,3,0.03,500,,100.0
lightgbm,colorectal,0,1,0.11822651411749822,0.12614186248449968,0.13980889164433377,3,0.03,200,,100.0
lightgbm,colorectal,0,2,0.13526667646616944,0.1534442971615757,0.13520051065422192,3,0.03,200,,100.0
lightgbm,colorectal,0,3,0.11262693244382059,0.12964562339771635,0.14054890271377415,3,0.03,200,,100.0
lightgbm,colorectal,0,4,0.12513611816177073,0.1622776126571455,0.13322066983112232,3,0.03,200,,100.0
lightgbm,colorectal,1,0,0.13642772209792597,0.1598719077000085,0.13227663769441514,3,0.03,200,,100.0
lightgbm,colorectal,1,1,0.11351205914309563,0.1277747317317183,0.13556409256115845,3,0.03,500,,100.0
lightgbm,colorectal,1,2,0.12203752446408221,0.13965484532713338,0.13318038009302632,3,0.03,200,,20.0
lightgbm,colorectal,1,3,0.11599340415111513,0.12349238950939587,0.13584839830839593,3,0.03,200,,100.0
lightgbm,colorectal,1,4,0.13049538231773022,0.15768798480984336,0.127001543292903,3,0.03,200,,100.0
lightgbm,colorectal,2,0,0.1028126859205504,0.1431057926104051,0.13435574906673423,3,0.03,200,,100.0
lightgbm,colorectal,2,1,0.11992726656475226,0.159420887649683,0.13304756886532143,3,0.03,200,,100.0
lightgbm,colorectal,2,2,0.13201721311038483,0.1529685430839113,0.13711478747213476,3,0.03,500,,100.0
lightgbm,colorectal,2,3,0.12328879546885164,0.12256530825754056,0.14279469103351775,3,0.03,200,,100.0
lightgbm,colorectal,2,4,0.13129641278992346,0.1262938132020689,0.140204471127433,3,0.03,200,,20.0
