algo,cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_n_estimators,cfg_min_child_weight,cfg_min_child_samples
xgboost,lung,0,0,0.16859210583970152,0.2278169603933096,0.1743180076157453,3,0.03,200,20.0,
xgboost,lung,0,1,0.14440561794216772,0.20021667665719234,0.1793572904949928,6,0.03,200,20.0,
xgboost,lung,0,2,0.15160722204824043,0.17917533999296714,0.1886410045326755,3,0.03,500,20.0,
xgboost,lung,0,3,0.1286556599163244,0.1715238298763129,0.1965953795714915,6,0.03,200,20.0,
xgboost,lung,0,4,0.13737088820962248,0.1780875063995024,0.194184218711843,6,0.03,200,20.0,
xgboost,lung,1,0,0.1363222123902477,0.2087242357518724,0.18356417595951446,6,0.03,200,20.0,
xgboost,lung,1,1,0.1354691940467872,0.18174862792594026,0.18431848664987638,6,0.03,200,20.0,
xgboost,lung,1,2,0.15032664808422397,0.20284455232141618,0.18048477663319795,3,0.03,500,20.0,
xgboost,lung,1,3,0.13470652384227397,0.1670743716260859,0.18602707712516556,12,0.03,200,20.0,
xgboost,lung,1,4,0.12904865821709188,0.19149604884258034,0.18378638275628914,3,0.03,200,1.0,
xgboost,lung,2,0,0.13298555543498733,0.18501323958051244,0.1856129678352645,3,0.03,200,1.0,
xgboost,lung,2,1,0.13584840069374704,0.2018656659648802,0.1837251330128098,3,0.03,500,20.0,
xgboost,lung,2,2,0.14745089202532824,0.1966714690968389,0.18788813532611623,3,0.03,500,20.0,
xgboost,lung,2,3,0.14460491420017169,0.1792360546673457,0.18860428197897341,6,0.03,200,20.0,
xgboost,lung,2,4,0.14566193412095826,0.17193478853437022,0.19530656999361873,6,0.03,200,20.0,
lightgbm,lung,0,0,0.20241667406390643,0.23023292821817515,0.17196442337363024,3,0.03,200,,20.0
lightgbm,lung,0,1,0.16856305313124526,0.19894995625546852,0.1785976397119086,3,0.03,500,,100.0
lightgbm,lung,0,2,0.15397021904728517,0.1778145685460391,0.18818248842140442,3,0.03,200,,20.0
lightgbm,lung,0,3,0.1674749180554881,0.17286682682021717,0.19397026038759388,3,0.03,200,,100.0
lightgbm,lung,0,4,0.1637928684023001,0.18203171889455852,0.19147281903844063,3,0.03,200,,20.0
lightgbm,lung,1,0,0.16902868902970175,0.21264741755074926,0.17510189766490156,3,0.03,500,,20.0
lightgbm,lung,1,1,0.1815674540989525,0.17695829351413134,0.18096459962644698,-1,0.03,200,,100.0
lightgbm,lung,1,2,0.18242150410995792,0.1939624466342312,0.17742275962572154,3,0.03,200,,100.0
lightgbm,lung,1,3,0.14584502142511205,0.16857784147244853,0.1861434218059558,3,0.03,200,,100.0
lightgbm,lung,1,4,0.16332818004868715,0.18964270106072753,0.18330282557470756,3,0.03,200,,100.0
lightgbm,lung,2,0,0.14307512233709563,0.18273491575085538,0.18393234745306367,3,0.03,200,,20.0
lightgbm,lung,2,1,0.18089122455607104,0.20326732420456833,0.18091886886068465,3,0.03,200,,20.0
lightgbm,lung,2,2,0.1727755631021479,0.20153190105933122,0.1834971447095104,3,0.03,500,,100.0
lightgbm,lung,2,3,0.16912785297076488,0.182954410650392,0.18545217395807378,3,0.03,500,,20.0
lightgbm,lung,2,4,0.1578656756549001,0.16613879468885973,0.18816770771798863,3,0.03,200,,100.0
