algo,cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_n_estimators,cfg_min_child_weight,cfg_min_child_samples
xgboost,mimic4,0,0,0.4201899542361697,0.4586867397884055,0.4467734346272077,6,0.03,500,20.0,
xgboost,mimic4,0,1,0.4248660199466545,0.45696347113850677,0.4503427620537481,6,0.03,500,20.0,
xgboost,mimic4,0,2,0.41852957410103103,0.4583733059077143,0.4465573247915673,6,0.03,500,20.0,
xgboost,mimic4,0,3,0.4136010869711115,0.4581367610826615,0.4492633095633978,6,0.03,500,20.0,
xgboost,mimic4,0,4,0.4197722549544955,0.4500491965201465,0.45076817038130107,6,0.03,500,20.0,
xgboost,mimic4,1,0,0.4168203362207596,0.447204607037479,0.4527914583321329,6,0.03,500,20.0,
xgboost,mimic4,1,1,0.4230450178115688,0.4531582029877131,0.44873710300621017,6,0.03,500,20.0,
xgboost,mimic4,1,2,0.41599622104579415,0.46199091749281307,0.44505873736370033,6,0.03,500,20.0,
xgboost,mimic4,1,3,0.41481443558921255,0.4508576035578147,0.45154387459986456,6,0.03,500,20.0,
xgboost,mimic4,1,4,0.4218674794423302,0.46358035738525094,0.44665690910764594,6,0.03,500,20.0,
xgboost,mimic4,2,0,0.4155691387969087,0.46424813494648287,0.447731879972852,6,0.03,500,20.0,
xgboost,mimic4,2,1,0.4365243813489147,0.4752309227774369,0.44217212472799544,6,0.03,500,20.0,
xgboost,mimic4,2,2,0.40660221571000177,0.43743788327239674,0.45425765843594107,6,0.03,500,20.0,
xgboost,mimic4,2,3,0.41841655551710605,0.4527950047322594,0.44758932594630435,6,0.03,500,20.0,
xgboost,mimic4,2,4,0.41099026210966233,0.4537249891198966,0.45068366370531976,6,0.03,500,20.0,
lightgbm,mimic4,0,0,0.4513227945927298,0.46085362464168766,0.4465252899592123,-1,0.03,500,,100.0
lightgbm,mimic4,0,1,0.4454150748323843,0.45463865462444075,0.4494520934530333,6,0.03,500,,100.0
lightgbm,mimic4,0,2,0.4487391553070916,0.4577365443099079,0.44508598248050824,-1,0.03,500,,100.0
lightgbm,mimic4,0,3,0.45267193598044997,0.45963919170349377,0.44866109475915056,-1,0.03,500,,100.0
lightgbm,mimic4,0,4,0.43828033583712067,0.44808906556539957,0.4496611971119333,6,0.03,500,,100.0
lightgbm,mimic4,1,0,0.4381057151633432,0.4416691545881432,0.4485149402540933,6,0.03,500,,20.0
lightgbm,mimic4,1,1,0.4383204861670766,0.4507605556097271,0.4466129119392524,6,0.03,500,,100.0
lightgbm,mimic4,1,2,0.4543132542795999,0.46038406369118456,0.44288470173915345,-1,0.03,500,,100.0
lightgbm,mimic4,1,3,0.4350757788625441,0.4554399554819755,0.4496426697786486,-1,0.03,500,,100.0
lightgbm,mimic4,1,4,0.45382326368587406,0.465496122080096,0.4480621354058158,-1,0.03,500,,100.0
lightgbm,mimic4,2,0,0.4541830681020692,0.4609202226722513,0.4468031188985204,-1,0.03,500,,100.0
lightgbm,mimic4,2,1,0.46712628119577043,0.4725995884294479,0.44335995412309037,-1,0.03,500,,100.0
lightgbm,mimic4,2,2,0.4219383607531286,0.43480337244988626,0.45313026096225945,6,0.03,500,,100.0
lightgbm,mimic4,2,3,0.44482438784016454,0.4502757889054914,0.4484174986703007,-1,0.03,500,,100.0
lightgbm,mimic4,2,4,0.44701296467330787,0.4568735644463423,0.4498100067829666,6,0.03,500,,100.0
