algo,cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_n_estimators,cfg_min_child_weight,cfg_min_child_samples
xgboost,ovarian,0,0,0.08329087895246479,0.10384031073064931,0.11111502742061495,3,0.03,500,1.0,
xgboost,ovarian,0,1,0.07290148229012398,0.11403016154929331,0.1078885274780433,3,0.03,500,20.0,
xgboost,ovarian,0,2,0.06118990710984375,0.10823253489213187,0.11562521011697735,3,0.03,500,20.0,
xgboost,ovarian,0,3,0.08108404980505016,0.12547644110955028,0.10788102420911112,3,0.03,200,20.0,
xgboost,ovarian,0,4,0.09432998312667817,0.12406257859050182,0.10608645840633664,6,0.03,200,20.0,
xgboost,ovarian,1,0,0.0713440170192389,0.12865432492271536,0.10409314619159775,3,0.03,200,20.0,
xgboost,ovarian,1,1,0.07334709287195235,0.1174815207003144,0.10270242897437327,3,0.03,200,20.0,
xgboost,ovarian,1,2,0.06239863057490266,0.10908705171746859,0.10559910992972947,6,0.03,200,20.0,
xgboost,ovarian,1,3,0.06936288208842274,0.10100534988770334,0.1149369894996111,6,0.03,200,20.0,
xgboost,ovarian,1,4,0.06417896707664034,0.1011323720198977,0.1112876029013312,3,0.03,200,1.0,
xgboost,ovarian,2,0,0.0629739761874654,0.0867266994926679,0.12149745569524602,6,0.03,200,20.0,
xgboost,ovarian,2,1,0.07638595015911853,0.1255906401089646,0.09958996492855043,3,0.03,200,1.0,
xgboost,ovarian,2,2,0.06024282862754518,0.10936674460884263,0.10833376913410224,3,0.03,200,20.0,
xgboost,ovarian,2,3,0.08921258394020269,0.1239274128082283,0.10731157622868825,3,0.03,200,20.0,
xgboost,ovarian,2,4,0.0653739012050204,0.09933916737073815,0.10793274598707325,3,0.03,500,1.0,
lightgbm,ovarian,0,0,0.09192847524757237,0.10060553053991367,0.11667769491053381,3,0.03,500,,20.0
lightgbm,ovarian,0,1,0.09173988157532258,0.10203502275885273,0.1044865746831501,3,0.03,200,,100.0
lightgbm,ovarian,0,2,0.08594165738801302,0.10419994684131767,0.11194677891880904,3,0.03,500,,100.0
lightgbm,ovarian,0,3,0.11332206636143438,0.11894678402270206,0.10578350181766293,3,0.03,200,,100.0
lightgbm,ovarian,0,4,0.11259930385147628,0.12669628960826768,0.10469371936820948,3,0.03,200,,100.0
lightgbm,ovarian,1,0,0.10999681169684736,0.11252512569828851,0.10301177841862465,3,0.03,200,,20.0
lightgbm,ovarian,1,1,0.08717774826753415,0.12843147336776203,0.09979420754714209,3,0.03,200,,100.0
lightgbm,ovarian,1,2,0.06934599129433024,0.09533804379675981,0.10477260268876755,3,0.03,200,,20.0
lightgbm,ovarian,1,3,0.08166501708232322,0.09953952456185595,0.11273978777638412,3,0.03,200,,100.0
lightgbm,ovarian,1,4,0.08253374831480217,0.10012408645898886,0.10889285444279068,3,0.03,200,,20.0
lightgbm,ovarian,2,0,0.07811250184292814,0.08973685775900145,0.11864947444531238,3,0.03,500,,20.0
lightgbm,ovarian,2,1,0.10994696826348947,0.12789349027660718,0.09730893603789113,3,0.03,200,,20.0
lightgbm,ovarian,2,2,0.07985470704342067,0.10801308984072992,0.10433190099808205,3,0.03,200,,100.0
lightgbm,ovarian,2,3,0.10410004016292104,0.11301915735275982,0.10817511153689603,3,0.03,200,,20.0
lightgbm,ovarian,2,4,0.08046839601883271,0.09624730425309028,0.10418277667329896,3,0.03,500,,100.0
