algo,cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_n_estimators,cfg_min_child_weight,cfg_min_child_samples
xgboost,prostate,0,0,0.1347371346061973,0.1717852055496147,0.16674894088471895,3,0.03,500,1.0,
xgboost,prostate,0,1,0.11725694982100239,0.1751288039313755,0.1666670649080185,3,0.03,500,20.0,
xgboost,prostate,0,2,0.12574377264626668,0.17466395161817577,0.17104759517769286,3,0.03,200,20.0,
xgboost,prostate,0,3,0.1300026393751032,0.16122480112292675,0.1711152199028795,3,0.03,200,20.0,
xgboost,prostate,0,4,0.12298755666556574,0.17723425044781174,0.1645869648932791,3,0.03,200,20.0,
xgboost,prostate,1,0,0.1298170643703986,0.1790241256576541,0.16406909481110885,3,0.03,500,1.0,
xgboost,prostate,1,1,0.12208199172151751,0.1625567144133795,0.17526801543163262,3,0.03,500,1.0,
xgboost,prostate,1,2,0.12253902683763368,0.18365815226722826,0.16504974139225984,3,0.03,500,20.0,
xgboost,prostate,1,3,0.11346428052892404,0.16584918317025624,0.16850455400171574,3,0.03,200,1.0,
xgboost,prostate,1,4,0.1230568275742048,0.17139621449077755,0.17181925708593712,3,0.03,500,20.0,
xgboost,prostate,2,0,0.11410158135786982,0.17914115581897028,0.1659076636519436,3,0.03,500,20.0,
xgboost,prostate,2,1,0.1368318115152518,0.1870354964018785,0.1649360960467018,3,0.03,500,20.0,
xgboost,prostate,2,2,0.12404339092575509,0.16542555941062947,0.17095033276587213,3,0.03,200,1.0,
xgboost,prostate,2,3,0.11164337776071603,0.17884552580267016,0.16621468389671878,3,0.03,500,1.0,
xgboost,prostate,2,4,0.11126453665271571,0.16279308278161553,0.17149796548449855,3,0.03,200,20.0,
lightgbm,prostate,0,0,0.1535362843186382,0.17365901611664147,0.1668656316035445,3,0.03,500,,20.0
lightgbm,prostate,0,1,0.16248415564567664,0.1737947535451238,0.16562560364019832,3,0.03,500,,20.0
lightgbm,prostate,0,2,0.1643386265183916,0.1718060195383714,0.1703979862167763,3,0.03,200,,100.0
lightgbm,prostate,0,3,0.15545097130407295,0.15841044473792473,0.1725700763474282,3,0.03,200,,100.0
lightgbm,prostate,0,4,0.14984584695103448,0.16552590237607506,0.1619373212532116,3,0.03,500,,100.0
lightgbm,prostate,1,0,0.16300910822250686,0.181549490144512,0.16383602782204412,3,0.03,500,,20.0
lightgbm,prostate,1,1,0.14911575584598932,0.15793008761043215,0.1738324657566502,3,0.03,500,,20.0
lightgbm,prostate,1,2,0.15372428645237363,0.1696353630052431,0.16120598756926574,6,0.03,200,,100.0
lightgbm,prostate,1,3,0.14320817882762124,0.16340918095958007,0.17025775261743803,3,0.03,200,,20.0
lightgbm,prostate,1,4,0.15972995452329597,0.17231544599542972,0.16846752429170855,3,0.1,200,,100.0
lightgbm,prostate,2,0,0.14893017106243578,0.17220379916624493,0.16122251655476894,3,0.03,200,,100.0
lightgbm,prostate,2,1,0.15885797117296627,0.18206227359672944,0.1623178542129533,3,0.03,500,,100.0
lightgbm,prostate,2,2,0.15447259931755214,0.16470930935946337,0.17178838325391377,3,0.03,200,,20.0
lightgbm,prostate,2,3,0.14760573447987774,0.17041497661654412,0.16631668288794785,3,0.03,500,,20.0
lightgbm,prostate,2,4,0.13286084653836003,0.16226531393395113,0.16795290837199564,3,0.03,200,,100.0
