cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_max_iter,cfg_min_samples_leaf
colorectal,0,0,0.13424042672956377,0.16451936781679896,0.13064056242199687,3,0.03,200,100
colorectal,0,1,0.1214767623538082,0.12958526159079192,0.13860387510690755,3,0.03,500,100
colorectal,0,2,0.13386733798359854,0.15258124538960124,0.13831353166760754,3,0.03,500,100
colorectal,0,3,0.11368365804225307,0.13162502813569177,0.14042183967377012,3,0.03,200,100
colorectal,0,4,0.13604737253477836,0.16190349868360962,0.13553815504764932,3,0.03,200,100
colorectal,1,0,0.13788509522860048,0.16018816870449037,0.13237857251369978,3,0.03,200,100
colorectal,1,1,0.11244347920319202,0.1298667320803885,0.13449945433144994,3,0.03,500,100
colorectal,1,2,0.11572778530420258,0.14068113589055506,0.1362418161451872,3,0.03,200,100
colorectal,1,3,0.11306738095643215,0.12507581484682057,0.1356031616449506,3,0.03,200,100
colorectal,1,4,0.11930212780223992,0.15589436968353354,0.1266651008015842,3,0.03,200,20
colorectal,2,0,0.1131719634690107,0.14548485711135453,0.1357503326278112,3,0.03,200,100
colorectal,2,1,0.12254890775930997,0.15431230941004803,0.13434673186748247,3,0.03,500,100
colorectal,2,2,0.12761028037786615,0.15774803368732881,0.14073212001847568,3,0.03,500,100
colorectal,2,3,0.1268917352040019,0.1251823130858934,0.14338989655097242,3,0.03,200,20
colorectal,2,4,0.11788268133421978,0.13165322248164382,0.14237922570766226,3,0.03,200,100
