cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_max_iter,cfg_min_samples_leaf
lung,0,0,0.18711033966644025,0.2292346075324044,0.17169456391209456,3,0.03,200,100
lung,0,1,0.1686952541938681,0.19741974296036732,0.17801449219839716,3,0.03,200,100
lung,0,2,0.1549701729218202,0.17860159926532146,0.18659093049814035,3,0.03,500,100
lung,0,3,0.16194297039393724,0.17163584360877293,0.19328239244756676,3,0.03,200,100
lung,0,4,0.15620103755275339,0.1762111767838804,0.1927320080953586,6,0.03,200,100
lung,1,0,0.17846881801978748,0.20726378969416123,0.17682033737136552,3,0.03,200,100
lung,1,1,0.15782528690367398,0.18458724779754246,0.1798850242848227,3,0.03,500,20
lung,1,2,0.18176850074679207,0.19294199034605264,0.17952632625910003,6,0.03,200,100
lung,1,3,0.14188343456209773,0.16878702921253402,0.18612335892088164,3,0.03,200,100
lung,1,4,0.168334768417687,0.1861548541737959,0.18415503143276454,3,0.03,200,100
lung,2,0,0.14993602505462453,0.18522052847500325,0.18425090837144756,3,0.03,500,20
lung,2,1,0.17486622816834102,0.19801861126249434,0.18033618484580285,3,0.03,500,100
lung,2,2,0.1650085074282732,0.20405269921261723,0.18530051616364238,3,0.03,500,100
lung,2,3,0.16232044900948436,0.18119380601438465,0.18624939778778785,3,0.03,200,100
lung,2,4,0.1463476199310183,0.16435671208730926,0.18909580798696035,3,0.03,200,20
