cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_max_iter,cfg_min_samples_leaf
mimic4,0,0,0.45101441302323764,0.4531066800080016,0.4453854034354481,6.0,0.03,500,100
mimic4,0,1,0.4459345102512799,0.4607715183594313,0.44892372796078517,6.0,0.03,500,100
mimic4,0,2,0.4491233944728225,0.4564777028328031,0.44468469442777664,6.0,0.03,500,20
mimic4,0,3,0.4487856462471397,0.46261265511866645,0.4476621315343574,6.0,0.03,500,20
mimic4,0,4,0.44234036910743363,0.4497694362562597,0.4516129924477978,,0.03,500,100
mimic4,1,0,0.4340370976274404,0.4474151903611629,0.4503072208108682,6.0,0.03,500,100
mimic4,1,1,0.4436661654337651,0.457033407619296,0.44663064254918455,,0.03,500,100
mimic4,1,2,0.4467035280971525,0.4610549475304065,0.44424267970279807,6.0,0.03,500,100
mimic4,1,3,0.4444191511760466,0.45490450506689295,0.4503508333231443,,0.03,500,100
mimic4,1,4,0.4531032132119251,0.46562837159394477,0.4476337802508395,,0.03,500,100
mimic4,2,0,0.4482821926502716,0.4622259298013141,0.44593847286492977,,0.03,500,100
mimic4,2,1,0.46043352071581206,0.4758902858614915,0.4419410154319063,6.0,0.03,500,100
mimic4,2,2,0.425853585224837,0.4333525204798803,0.45143534396559565,6.0,0.03,500,100
mimic4,2,3,0.4457382497821458,0.4482399466257526,0.4487904307000378,,0.03,500,100
mimic4,2,4,0.4452213128820708,0.4515539356558971,0.45034497247712535,,0.03,500,100
