cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_max_iter,cfg_min_samples_leaf
ovarian,0,0,0.0884795839819644,0.09905727922050855,0.11266871531064367,3,0.03,200,20
ovarian,0,1,0.10204923990509789,0.10260876885233618,0.10591884019855935,3,0.03,200,100
ovarian,0,2,0.07862781765706148,0.10941765776939393,0.11068266578582413,3,0.03,200,100
ovarian,0,3,0.10577202002122403,0.11608989513560386,0.10376246784148042,3,0.03,200,100
ovarian,0,4,0.11035754902266523,0.12379061210506909,0.10593407358030811,3,0.03,200,20
ovarian,1,0,0.10905835852527944,0.11617210595924655,0.10311011218133033,3,0.03,200,100
ovarian,1,1,0.0936282136118159,0.12830094063195063,0.10186171168511098,3,0.03,200,100
ovarian,1,2,0.07425519348135007,0.0960117519622778,0.10377146826345307,3,0.03,200,20
ovarian,1,3,0.07831301140742787,0.09756390641080143,0.11206197133205147,3,0.03,200,100
ovarian,1,4,0.08794022993839147,0.09833863646850868,0.11104674886757132,3,0.03,200,20
ovarian,2,0,0.07571004535653417,0.09019931447455408,0.11936108737700651,3,0.03,500,20
ovarian,2,1,0.09047439432579543,0.12659208260980154,0.09733060321866736,3,0.03,200,20
ovarian,2,2,0.08525196601657199,0.10773499280342459,0.10404701522664293,3,0.03,200,100
ovarian,2,3,0.09088055798032994,0.11256890038636569,0.11242958263785226,3,0.03,200,20
ovarian,2,4,0.08658612080248117,0.09372263290395551,0.1068093113687306,3,0.03,500,100
