cohort,seed,fold,auprc_default,auprc_tuned,inner_auprc,cfg_max_depth,cfg_learning_rate,cfg_max_iter,cfg_min_samples_leaf
prostate,0,0,0.15418624674601555,0.17048369455521697,0.1653493415786015,3,0.03,500,100
prostate,0,1,0.1536466233984858,0.17229718457833973,0.16698496107540892,3,0.03,500,20
prostate,0,2,0.15217438834370614,0.17165623280603892,0.17124709723460887,3,0.03,200,100
prostate,0,3,0.1604928571990112,0.15798694435611188,0.16913840491014218,3,0.03,200,100
prostate,0,4,0.14846471392849467,0.16830672053004647,0.16335899101107199,3,0.03,500,100
prostate,1,0,0.1711455592616216,0.17740132763680386,0.16292936557842522,3,0.03,200,20
prostate,1,1,0.14034040982001222,0.15770292530208513,0.17358992488491096,3,0.03,500,20
prostate,1,2,0.15949029895756336,0.1818609710587548,0.16050034274311475,3,0.03,200,20
prostate,1,3,0.14065041214798438,0.16600355026974553,0.16956700022539054,3,0.03,200,20
prostate,1,4,0.1500876530021517,0.17169380475565438,0.16880175154977298,3,0.03,200,20
prostate,2,0,0.14995265601995236,0.17402611323764586,0.16023083623281167,3,0.03,200,20
prostate,2,1,0.1539204540238234,0.18352141307858907,0.15966481568636812,3,0.03,500,100
prostate,2,2,0.14972450087043446,0.16305331629603517,0.16998287192516218,3,0.03,200,20
prostate,2,3,0.1587934469497372,0.1711016806308715,0.16705684932609788,3,0.03,500,20
prostate,2,4,0.1354614460033817,0.1640992447423553,0.16878921359814766,3,0.03,200,100
